order_item_id,order_id,item_id,quantity,item_price,item_total,net_sales,discount_flag,discount_amount
85,2634,431,4,367,1468,1427,Discount,41
86,2622,473,2,461,922,920,Discount,2
87,3423,409,2,403,806,774,Discount,32
88,2691,481,1,384,384,337,Discount,47
89,2891,480,3,239,717,649,Discount,68
90,3439,431,2,461,922,879,Discount,43
91,2739,482,3,240,720,720,Discount,0
92,2576,411,2,240,480,460,Discount,20
93,3485,468,4,456,1824,1791,Discount,33
94,2447,429,4,104,416,361,Discount,55
95,3292,454,1,470,470,456,Discount,14
96,3091,500,3,398,1194,1142,Discount,52
97,2723,406,4,312,1248,1194,Discount,54
98,2553,490,3,238,714,673,Discount,41
99,3060,465,2,300,600,547,Discount,53
100,2065,460,3,498,1494,1428,Discount,66
101,3126,464,3,321,963,912,Discount,51
102,2359,409,3,231,693,616,Discount,77
103,2132,425,1,326,326,324,Discount,2
104,2325,458,2,335,670,639,Discount,31
105,3277,401,1,133,133,77,Discount,56
106,2878,404,3,412,1236,1179,Discount,57
107,3101,488,4,346,1384,1337,Discount,47
108,2587,403,3,154,462,450,Discount,12
109,2370,431,3,117,351,288,Discount,63
110,2421,416,4,417,1668,1659,Discount,9
111,3206,406,4,160,640,640,Discount,0
112,2466,459,3,266,798,773,Discount,25
113,3446,445,3,206,618,542,Discount,76
114,3048,417,2,333,666,666,Discount,0
115,2709,445,3,117,351,316,Discount,35
116,2297,470,3,300,900,859,Discount,41
117,2024,444,4,410,1640,1584,Discount,56
118,3041,471,3,452,1356,1353,Discount,3
119,2215,492,1,157,157,97,Discount,60
120,2333,488,3,328,984,950,Discount,34
121,2389,475,1,304,304,249,Discount,55
122,2695,419,1,475,475,473,Discount,2
123,2188,407,4,467,1868,1868,Discount,0
124,2191,460,4,476,1904,1849,Discount,55
125,2927,401,4,168,672,642,Discount,30
126,3464,492,3,433,1299,1296,Discount,3
127,2809,440,3,134,402,386,Discount,16
128,3280,416,3,419,1257,1238,Discount,19
129,3140,447,3,390,1170,1106,Discount,64
130,2568,457,3,457,1371,1332,Discount,39
131,2689,448,4,441,1764,1691,Discount,73
132,3236,484,1,274,274,274,Discount,0
133,2584,483,3,359,1077,1000,Discount,77
134,3366,453,1,297,297,265,Discount,32
135,2194,486,2,419,838,760,Discount,78
136,2751,471,4,377,1508,1456,Discount,52
137,2656,487,1,302,302,222,Discount,80
138,2653,435,1,439,439,386,Discount,53
139,3411,486,3,278,834,769,Discount,65
140,2985,484,2,459,918,897,Discount,21
141,3461,456,3,167,501,458,Discount,43
142,2575,487,4,166,664,649,Discount,15
143,3009,478,4,106,424,424,Discount,0
144,3387,482,3,257,771,740,Discount,31
145,2060,420,3,489,1467,1449,Discount,18
146,2971,477,1,241,241,237,Discount,4
147,2110,431,2,283,566,558,Discount,8
148,3064,446,4,414,1656,1608,Discount,48
149,3132,452,4,309,1236,1172,Discount,64
150,2801,462,4,471,1884,1859,Discount,25
151,3390,427,4,440,1760,1717,Discount,43
152,3336,445,4,469,1876,1830,Discount,46
153,3030,452,4,489,1956,1933,Discount,23
154,3023,499,1,370,370,327,Discount,43
155,2276,433,1,344,344,302,Discount,42
156,2950,491,3,303,909,860,Discount,49
157,2883,446,1,248,248,188,Discount,60
158,2509,422,2,276,552,552,Discount,0
159,3283,410,2,162,324,308,Discount,16
160,2935,425,1,266,266,231,Discount,35
161,2849,431,1,464,464,405,Discount,59
162,2220,405,3,143,429,361,Discount,68
163,3187,402,4,145,580,575,Discount,5
164,3164,428,1,351,351,351,Discount,0
165,2912,491,1,220,220,148,Discount,72
166,2669,408,4,315,1260,1260,Discount,0
167,2354,498,4,231,924,924,Discount,0
168,2155,499,4,481,1924,1897,Discount,27
169,2163,447,4,342,1368,1290,Discount,78
170,2601,442,4,496,1984,1941,Discount,43
171,2787,422,1,337,337,337,Discount,0
172,2992,443,4,456,1824,1824,Discount,0
173,2100,417,2,337,674,624,Discount,50
174,3473,455,3,166,498,455,Discount,43
175,2989,482,3,321,963,915,Discount,48
176,2294,459,3,489,1467,1457,Discount,10
177,3466,486,2,295,590,569,Discount,21
178,2909,489,4,422,1688,1649,Discount,39
179,2506,406,1,297,297,284,Discount,13
180,2236,467,3,336,1008,929,Discount,79
181,2427,465,2,462,924,860,Discount,64
182,3232,438,2,469,938,879,Discount,59
183,2888,487,3,237,711,685,Discount,26
184,3487,477,1,181,181,173,Discount,8
185,2830,491,2,194,388,328,Discount,60
186,3335,470,4,159,636,632,Discount,4
187,3381,434,2,482,964,929,Discount,35
188,2052,443,1,361,361,349,Discount,12
189,2203,477,2,483,966,930,Discount,36
190,2572,447,3,400,1200,1146,Discount,54
191,2510,489,4,103,412,332,Discount,80
192,2968,462,3,425,1275,1238,Discount,37
193,2327,491,1,292,292,224,Discount,68
194,2560,427,4,444,1776,1734,Discount,42
195,2525,484,4,265,1060,1016,Discount,44
196,2695,500,1,414,414,390,Discount,24
197,2315,481,4,122,488,473,Discount,15
198,2096,462,2,197,394,369,Discount,25
199,2212,413,4,234,936,912,Discount,24
200,3488,424,4,167,668,663,Discount,5
201,2399,442,4,204,816,785,Discount,31
202,3436,464,3,110,330,330,Discount,0
203,2826,433,3,371,1113,1081,Discount,32
204,2590,405,4,240,960,904,Discount,56
205,2215,442,2,158,316,274,Discount,42
206,2672,432,1,410,410,363,Discount,47
207,2247,440,2,311,622,585,Discount,37
208,3431,419,2,375,750,695,Discount,55
209,2997,496,1,196,196,147,Discount,49
210,2946,445,4,232,928,903,Discount,25
211,2926,427,4,386,1544,1479,Discount,65
212,2956,425,4,454,1816,1801,Discount,15
213,2999,406,2,341,682,643,Discount,39
214,3196,438,1,249,249,249,Discount,0
215,2225,415,3,162,486,450,Discount,36
216,2907,496,3,228,684,636,Discount,48
217,2450,445,1,242,242,219,Discount,23
218,2999,454,2,201,402,342,Discount,60
219,2380,484,1,481,481,420,Discount,61
220,2767,468,3,214,642,603,Discount,39
221,2952,435,3,108,324,324,Discount,0
222,2903,421,1,108,108,107,Discount,1
223,3197,500,1,183,183,164,Discount,19
224,2996,470,4,228,912,866,Discount,46
225,2475,440,4,467,1868,1831,Discount,37
226,3125,498,2,140,280,212,Discount,68
227,3142,462,3,493,1479,1411,Discount,68
228,3366,435,3,483,1449,1406,Discount,43
229,3432,447,1,466,466,425,Discount,41
230,3486,433,1,419,419,389,Discount,30
231,3490,488,4,417,1668,1616,Discount,52
232,3077,412,1,124,124,122,Discount,2
233,3483,436,2,329,658,612,Discount,46
234,2096,449,2,449,898,818,Discount,80
235,2801,415,1,133,133,55,Discount,78
236,3229,488,1,461,461,404,Discount,57
237,2759,412,3,477,1431,1356,Discount,75
238,2270,468,4,226,904,884,Discount,20
239,3355,433,1,375,375,357,Discount,18
240,2620,481,1,116,116,60,Discount,56
241,3331,441,2,450,900,900,Discount,0
242,2189,466,1,277,277,217,Discount,60
243,2844,440,2,463,926,926,Discount,0
244,2154,419,3,210,630,617,Discount,13
245,3456,436,4,428,1712,1652,Discount,60
246,2528,434,3,347,1041,1039,Discount,2
247,2919,452,1,298,298,293,Discount,5
248,2667,422,4,198,792,792,Discount,0
249,2771,418,3,162,486,486,Discount,0
250,3483,413,4,415,1660,1594,Discount,66
251,2844,408,2,223,446,436,Discount,10
252,2017,419,3,304,912,877,Discount,35
253,2722,488,3,115,345,284,Discount,61
254,3206,413,1,127,127,113,Discount,14
255,2022,425,1,251,251,190,Discount,61
256,2299,415,1,470,470,428,Discount,42
257,2229,448,2,382,764,723,Discount,41
258,2057,450,3,169,507,470,Discount,37
259,3142,458,4,306,1224,1215,Discount,9
260,3361,465,2,491,982,920,Discount,62
261,2009,421,4,451,1804,1771,Discount,33
262,3262,414,1,255,255,200,Discount,55
263,2597,402,2,204,408,398,Discount,10
264,3098,481,2,442,884,879,Discount,5
265,3372,418,1,226,226,148,Discount,78
266,2242,450,1,223,223,193,Discount,30
267,2610,476,3,450,1350,1343,Discount,7
268,2788,472,4,402,1608,1565,Discount,43
269,3161,405,2,154,308,278,Discount,30
270,2300,494,4,366,1464,1442,Discount,22
271,2506,453,1,363,363,361,Discount,2
272,2257,486,3,223,669,606,Discount,63
273,2182,421,4,224,896,862,Discount,34
274,2736,470,2,327,654,652,Discount,2
275,2399,411,2,158,316,271,Discount,45
276,2402,406,1,224,224,220,Discount,4
277,3483,473,4,215,860,847,Discount,13
278,3339,461,2,138,276,274,Discount,2
279,2440,432,1,428,428,418,Discount,10
280,2840,450,1,330,330,281,Discount,49
281,2496,409,2,352,704,643,Discount,61
282,2101,434,2,168,336,331,Discount,5
283,3352,406,4,376,1504,1504,Discount,0
284,3221,495,4,429,1716,1694,Discount,22
285,3087,474,4,364,1456,1404,Discount,52
286,3119,463,4,207,828,779,Discount,49
287,2213,485,2,287,574,530,Discount,44
288,2310,410,3,495,1485,1466,Discount,19
289,3019,473,4,195,780,765,Discount,15
290,2687,490,1,287,287,276,Discount,11
291,3134,438,4,423,1692,1635,Discount,57
292,2880,435,4,389,1556,1499,Discount,57
293,2002,434,2,174,348,339,Discount,9
294,2843,452,4,423,1692,1622,Discount,70
295,3177,456,2,399,798,791,Discount,7
296,2161,436,3,355,1065,1049,Discount,16
297,3260,429,3,159,477,421,Discount,56
298,3212,445,1,326,326,310,Discount,16
299,2604,434,3,374,1122,1108,Discount,14
300,2659,438,3,369,1107,1062,Discount,45
301,2689,454,4,451,1804,1766,Discount,38
302,2890,449,2,377,754,754,Discount,0
303,3348,480,2,179,358,283,Discount,75
304,3461,425,1,118,118,80,Discount,38
305,2576,466,2,194,388,342,Discount,46
306,2186,433,2,313,626,582,Discount,44
307,3452,443,1,477,477,452,Discount,25
308,3190,500,3,262,786,786,Discount,0
309,2644,493,1,132,132,132,Discount,0
310,2801,470,2,183,366,312,Discount,54
311,3322,423,3,347,1041,978,Discount,63
312,2335,478,4,141,564,558,Discount,6
313,2753,449,4,308,1232,1182,Discount,50
314,2884,456,2,443,886,874,Discount,12
315,3283,442,2,473,946,869,Discount,77
316,3322,454,2,129,258,237,Discount,21
317,2191,452,1,145,145,65,Discount,80
318,2206,411,2,299,598,562,Discount,36
319,2463,441,3,436,1308,1281,Discount,27
320,2052,484,1,378,378,334,Discount,44
321,3390,481,4,312,1248,1248,Discount,0
322,2156,479,2,173,346,312,Discount,34
323,2836,456,3,226,678,616,Discount,62
324,2231,447,1,469,469,440,Discount,29
325,2799,431,3,381,1143,1106,Discount,37
326,3252,409,3,450,1350,1308,Discount,42
327,3010,471,4,148,592,568,Discount,24
328,2831,495,3,346,1038,970,Discount,68
329,3377,484,4,298,1192,1192,Discount,0
330,2877,444,2,151,302,292,Discount,10
331,2353,467,1,272,272,203,Discount,69
332,3066,472,2,145,290,213,Discount,77
333,3378,429,3,436,1308,1302,Discount,6
334,2131,471,4,415,1660,1613,Discount,47
335,2001,498,4,280,1120,1081,Discount,39
336,2031,473,4,120,480,454,Discount,26
337,2291,465,2,391,782,734,Discount,48
338,3064,495,2,308,616,589,Discount,27
339,3229,450,1,499,499,493,Discount,6
340,2414,458,2,126,252,239,Discount,13
341,2198,486,4,120,480,480,Discount,0
342,2818,443,4,283,1132,1127,Discount,5
343,3270,460,1,112,112,89,Discount,23
344,3269,498,2,423,846,812,Discount,34
345,2051,467,3,120,360,297,Discount,63
346,3164,477,3,365,1095,1095,Discount,0
347,3114,432,2,128,256,186,Discount,70
348,2463,426,1,108,108,50,Discount,58
349,2834,437,2,374,748,697,Discount,51
350,2440,458,3,473,1419,1406,Discount,13
351,2622,401,1,314,314,254,Discount,60
352,3292,425,1,239,239,206,Discount,33
353,2506,416,4,169,676,661,Discount,15
354,2437,479,3,120,360,360,Discount,0
355,2256,451,3,292,876,812,Discount,64
356,3255,445,2,473,946,932,Discount,14
357,2351,465,3,181,543,484,Discount,59
358,2935,411,3,383,1149,1135,Discount,14
359,2567,450,1,417,417,401,Discount,16
360,2474,465,2,442,884,868,Discount,16
361,3374,449,3,332,996,939,Discount,57
362,2117,408,1,309,309,253,Discount,56
363,2302,427,2,305,610,589,Discount,21
364,2658,419,3,327,981,981,Discount,0
365,2268,480,1,248,248,180,Discount,68
366,2768,449,3,169,507,499,Discount,8
367,2422,463,3,306,918,847,Discount,71
368,3051,401,1,483,483,431,Discount,52
369,2556,418,4,358,1432,1365,Discount,67
370,2067,471,3,415,1245,1245,Discount,0
371,2507,435,3,376,1128,1063,Discount,65
372,2889,495,1,253,253,248,Discount,5
373,2900,471,2,305,610,572,Discount,38
374,2511,430,4,356,1424,1347,Discount,77
375,2006,468,3,183,549,549,Discount,0
376,2247,456,2,386,772,764,Discount,8
377,3428,440,1,332,332,326,Discount,6
378,2594,484,4,159,636,566,Discount,70
379,3293,492,2,384,768,731,Discount,37
380,2577,406,3,443,1329,1321,Discount,8
381,3249,450,2,215,430,410,Discount,20
382,2346,475,2,500,1000,950,Discount,50
383,2025,429,4,137,548,472,Discount,76
384,3273,451,3,435,1305,1255,Discount,50
385,2821,472,4,282,1128,1112,Discount,16
386,2430,469,2,124,248,180,Discount,68
387,3320,476,1,421,421,397,Discount,24
388,2745,462,1,305,305,255,Discount,50
389,2832,402,2,306,612,542,Discount,70
390,2172,485,4,309,1236,1187,Discount,49
391,2612,427,2,323,646,644,Discount,2
392,3256,418,2,449,898,891,Discount,7
393,2108,413,4,245,980,967,Discount,13
394,2042,474,3,269,807,733,Discount,74
395,3487,445,4,438,1752,1710,Discount,42
396,3278,465,3,160,480,408,Discount,72
397,3382,418,2,354,708,708,Discount,0
398,2509,402,2,104,208,202,Discount,6
399,2211,435,1,243,243,211,Discount,32
400,2240,498,3,384,1152,1108,Discount,44
401,2991,474,2,496,992,933,Discount,59
402,3086,415,2,427,854,805,Discount,49
403,2620,477,4,302,1208,1199,Discount,9
404,2652,481,1,210,210,134,Discount,76
405,2405,461,4,359,1436,1358,Discount,78
406,2072,411,2,100,200,154,Discount,46
407,2119,440,4,287,1148,1083,Discount,65
408,2669,417,3,426,1278,1232,Discount,46
409,2833,443,1,226,226,152,Discount,74
410,2188,468,1,437,437,395,Discount,42
411,2341,422,2,342,684,633,Discount,51
412,2621,443,2,257,514,514,Discount,0
413,2696,492,4,112,448,412,Discount,36
414,2734,439,4,404,1616,1553,Discount,63
415,3123,411,1,479,479,417,Discount,62
416,3398,489,1,385,385,377,Discount,8
417,2424,435,4,337,1348,1320,Discount,28
418,2032,494,1,317,317,257,Discount,60
419,2766,418,4,406,1624,1596,Discount,28
420,2478,440,2,325,650,620,Discount,30
421,2332,467,2,265,530,499,Discount,31
422,3341,433,2,477,954,922,Discount,32
423,2251,448,3,405,1215,1166,Discount,49
424,3355,454,3,312,936,906,Discount,30
425,2280,442,3,177,531,517,Discount,14
426,2934,463,4,481,1924,1924,Discount,0
427,2168,443,2,303,606,574,Discount,32
428,2987,414,2,133,266,220,Discount,46
429,3180,495,3,477,1431,1403,Discount,28
430,2653,484,4,311,1244,1244,Discount,0
431,2587,461,2,335,670,661,Discount,9
432,2299,493,2,231,462,435,Discount,27
433,3114,460,4,419,1676,1676,Discount,0
434,3004,456,4,102,408,365,Discount,43
435,3197,422,1,282,282,241,Discount,41
436,3447,434,1,183,183,138,Discount,45
437,2983,453,4,160,640,563,Discount,77
438,3238,469,1,383,383,373,Discount,10
439,2940,412,2,257,514,481,Discount,33
440,2393,455,4,156,624,555,Discount,69
441,3307,432,1,305,305,236,Discount,69
442,2706,424,2,314,628,548,Discount,80
443,3037,452,3,489,1467,1417,Discount,50
444,2220,402,2,173,346,296,Discount,50
445,3135,438,3,484,1452,1434,Discount,18
446,2611,463,2,109,218,147,Discount,71
447,3106,402,3,498,1494,1441,Discount,53
448,3135,454,1,386,386,370,Discount,16
449,2882,459,2,125,250,248,Discount,2
450,3351,413,3,322,966,909,Discount,57
451,3416,498,1,301,301,271,Discount,30
452,2233,451,3,242,726,672,Discount,54
453,2326,479,2,287,574,559,Discount,15
454,3030,457,2,218,436,413,Discount,23
455,2615,409,4,329,1316,1307,Discount,9
456,3328,405,4,139,556,493,Discount,63
457,2697,452,2,179,358,280,Discount,78
458,2141,454,4,418,1672,1627,Discount,45
459,2830,440,1,188,188,111,Discount,77
460,3115,418,1,434,434,379,Discount,55
461,2654,421,3,251,753,702,Discount,51
462,2650,491,4,362,1448,1385,Discount,63
463,2205,462,4,418,1672,1665,Discount,7
464,2338,487,2,242,484,419,Discount,65
465,3162,429,2,354,708,664,Discount,44
466,3104,496,2,268,536,495,Discount,41
467,3101,422,4,140,560,543,Discount,17
468,3357,434,2,110,220,193,Discount,27
469,2976,405,1,303,303,243,Discount,60
470,2558,472,2,228,456,394,Discount,62
471,2564,448,1,153,153,120,Discount,33
472,2826,483,2,203,406,406,Discount,0
473,3187,478,2,209,418,372,Discount,46
474,2800,438,1,114,114,48,Discount,66
475,3286,464,2,317,634,585,Discount,49
476,2650,423,4,272,1088,1076,Discount,12
477,2106,473,2,457,914,914,Discount,0
478,2252,493,3,461,1383,1306,Discount,77
479,2610,461,2,241,482,475,Discount,7
480,2640,459,4,430,1720,1680,Discount,40
481,2127,487,4,197,788,750,Discount,38
482,3064,461,4,369,1476,1476,Discount,0
483,2652,404,3,202,606,604,Discount,2
484,3015,497,4,280,1120,1120,Discount,0
485,3491,480,4,476,1904,1904,Discount,0
486,2147,490,1,405,405,358,Discount,47
487,2664,471,3,388,1164,1150,Discount,14
488,2246,403,2,364,728,717,Discount,11
489,2825,433,1,156,156,143,Discount,13
490,3470,439,2,478,956,956,Discount,0
491,2681,482,2,493,986,932,Discount,54
492,2732,467,1,239,239,239,Discount,0
493,2005,480,3,232,696,694,Discount,2
494,2443,477,4,105,420,404,Discount,16
495,3130,408,3,355,1065,1014,Discount,51
496,3352,420,2,426,852,779,Discount,73
497,2155,426,4,150,600,548,Discount,52
498,3359,483,1,242,242,202,Discount,40
499,2976,422,2,151,302,226,Discount,76
500,2102,404,3,117,351,289,Discount,62
501,3030,460,3,386,1158,1123,Discount,35
502,2640,468,2,224,448,448,Discount,0
503,2917,499,1,497,497,497,Discount,0
504,2601,455,4,430,1720,1714,Discount,6
505,2824,435,1,407,407,401,Discount,6
506,3340,410,3,271,813,752,Discount,61
507,2457,434,3,305,915,886,Discount,29
508,3342,482,2,360,720,654,Discount,66
509,2271,458,4,201,804,728,Discount,76
510,3258,489,2,494,988,949,Discount,39
511,3143,415,2,408,816,808,Discount,8
512,2868,486,1,246,246,189,Discount,57
513,2125,494,4,145,580,573,Discount,7
514,2158,490,3,358,1074,1017,Discount,57
515,2361,495,4,390,1560,1518,Discount,42
516,3117,436,4,453,1812,1812,Discount,0
517,3006,444,3,477,1431,1401,Discount,30
518,3421,493,2,135,270,264,Discount,6
519,2317,427,4,264,1056,1055,Discount,1
520,2179,401,4,197,788,739,Discount,49
521,2239,464,1,149,149,84,Discount,65
522,3427,450,1,157,157,157,Discount,0
523,2565,449,1,384,384,354,Discount,30
524,2452,484,2,430,860,821,Discount,39
525,2114,434,4,318,1272,1253,Discount,19
526,3419,478,2,303,606,578,Discount,28
527,3236,436,2,220,440,398,Discount,42
528,3058,485,4,236,944,885,Discount,59
529,2432,405,2,447,894,855,Discount,39
530,2424,465,4,478,1912,1905,Discount,7
531,2181,422,3,101,303,249,Discount,54
532,2023,444,2,305,610,592,Discount,18
533,3002,438,3,429,1287,1232,Discount,55
534,2214,482,1,418,418,369,Discount,49
535,2248,492,4,330,1320,1294,Discount,26
536,3484,492,4,258,1032,1032,Discount,0
537,3152,488,1,468,468,445,Discount,23
538,2666,457,1,355,355,306,Discount,49
539,3306,430,1,455,455,440,Discount,15
540,2589,442,2,499,998,930,Discount,68
541,2061,458,4,483,1932,1900,Discount,32
542,2103,440,2,446,892,872,Discount,20
543,2488,491,3,172,516,496,Discount,20
544,2029,471,4,301,1204,1187,Discount,17
545,2466,446,2,174,348,337,Discount,11
546,2191,417,4,469,1876,1853,Discount,23
547,2764,475,4,292,1168,1089,Discount,79
548,3346,464,1,484,484,461,Discount,23
549,2102,478,4,277,1108,1106,Discount,2
550,2956,433,2,454,908,845,Discount,63
551,2266,488,4,161,644,586,Discount,58
552,2080,421,4,215,860,829,Discount,31
553,2660,461,4,208,832,815,Discount,17
554,2709,477,4,114,456,406,Discount,50
555,2821,449,1,330,330,306,Discount,24
556,2732,460,1,286,286,259,Discount,27
557,3019,437,1,328,328,258,Discount,70
558,2943,449,2,112,224,150,Discount,74
559,2462,441,2,217,434,434,Discount,0
560,2011,433,3,250,750,708,Discount,42
561,3075,432,1,331,331,288,Discount,43
562,2667,440,2,225,450,373,Discount,77
563,2685,443,1,155,155,122,Discount,33
564,2483,466,4,490,1960,1936,Discount,24
565,3155,405,3,292,876,824,Discount,52
566,3002,412,2,391,782,735,Discount,47
567,2396,424,2,304,608,589,Discount,19
568,2676,454,3,347,1041,1002,Discount,39
569,2524,403,4,306,1224,1224,Discount,0
570,2806,498,4,203,812,791,Discount,21
571,2178,433,4,453,1812,1809,Discount,3
572,2901,479,3,338,1014,991,Discount,23
573,3201,486,2,175,350,319,Discount,31
574,2184,426,3,446,1338,1268,Discount,70
575,2971,467,3,158,474,428,Discount,46
576,3194,434,2,251,502,493,Discount,9
577,2237,493,1,204,204,153,Discount,51
578,2138,414,4,195,780,741,Discount,39
579,2744,413,2,107,214,140,Discount,74
580,3214,464,2,272,544,544,Discount,0
581,2902,411,4,410,1640,1574,Discount,66
582,3284,468,1,192,192,146,Discount,46
583,3232,497,1,284,284,211,Discount,73
584,2200,419,1,430,430,401,Discount,29
585,2453,436,3,139,417,357,Discount,60
586,3168,438,1,336,336,259,Discount,77
587,2682,424,3,496,1488,1470,Discount,18
588,2844,415,1,480,480,438,Discount,42
589,2161,458,4,444,1776,1706,Discount,70
590,2921,497,4,301,1204,1157,Discount,47
591,2043,407,2,205,410,346,Discount,64
592,3218,415,4,325,1300,1244,Discount,56
593,3137,498,1,271,271,253,Discount,18
594,2790,477,4,372,1488,1488,Discount,0
595,3359,491,1,125,125,52,Discount,73
596,2782,475,2,409,818,777,Discount,41
597,2379,499,1,274,274,204,Discount,70
598,2665,464,4,135,540,539,Discount,1
599,2864,459,1,499,499,433,Discount,66
600,2092,404,4,251,1004,928,Discount,76
601,2187,421,4,211,844,769,Discount,75
602,2784,500,4,463,1852,1845,Discount,7
603,2631,403,1,129,129,123,Discount,6
604,2932,421,4,121,484,409,Discount,75
605,3154,430,3,410,1230,1230,Discount,0
606,2425,483,4,274,1096,1083,Discount,13
607,3497,489,4,262,1048,1046,Discount,2
608,2682,424,3,197,591,512,Discount,79
609,2156,492,3,304,912,851,Discount,61
610,2788,401,3,198,594,572,Discount,22
611,2142,417,1,266,266,204,Discount,62
612,2535,423,3,235,705,665,Discount,40
613,2225,437,2,242,484,406,Discount,78
614,3473,442,3,392,1176,1170,Discount,6
615,3301,404,4,290,1160,1140,Discount,20
616,2160,436,4,102,408,408,Discount,0
617,3166,457,2,394,788,788,Discount,0
618,2827,464,1,256,256,183,Discount,73
619,2534,478,3,420,1260,1217,Discount,43
620,3040,428,2,184,368,344,Discount,24
621,2704,471,1,283,283,283,Discount,0
622,2285,469,3,367,1101,1087,Discount,14
623,2161,418,3,479,1437,1387,Discount,50
624,2378,482,4,171,684,624,Discount,60
625,2683,448,4,224,896,896,Discount,0
626,3327,413,1,299,299,227,Discount,72
627,2411,463,3,163,489,470,Discount,19
628,2124,455,3,459,1377,1321,Discount,56
629,3292,425,3,133,399,319,Discount,80
630,2313,405,1,198,198,133,Discount,65
631,3254,442,2,209,418,343,Discount,75
632,2417,468,3,398,1194,1154,Discount,40
633,2249,466,4,319,1276,1276,Discount,0
634,2669,432,2,303,606,605,Discount,1
635,2083,485,3,441,1323,1243,Discount,80
636,3118,448,4,490,1960,1947,Discount,13
637,3341,487,2,355,710,632,Discount,78
638,2536,417,4,454,1816,1751,Discount,65
639,2520,499,2,450,900,886,Discount,14
640,2835,440,3,320,960,923,Discount,37
641,2316,491,2,292,584,546,Discount,38
642,2727,469,1,118,118,55,Discount,63
643,2529,496,1,235,235,235,Discount,0
644,2793,477,3,437,1311,1306,Discount,5
645,3242,497,3,325,975,897,Discount,78
