payment_id,order_id,payment_method,payment_status,payment_date,amount_paid
5065,2065,UPI,Success,30-09-2023,1681
5066,2066,CASH,Failed,27-04-2023,1523
5067,2067,CARD,Success,08-02-2023,1948
5068,2068,CASH,Success,04-02-2023,1980
5069,2069,CARD,Success,09-01-2023,825
5070,2070,CASH,Success,26-02-2023,1549
5071,2071,CARD,Failed,03-10-2023,1918
5072,2072,UPI,Success,08-03-2023,1620
5073,2073,CASH,Failed,09-07-2023,1569
5074,2074,CASH,Success,26-11-2023,1494
5075,2075,UPI,Success,28-02-2023,315
5076,2076,CASH,Failed,05-10-2023,1818
5077,2077,CASH,Success,23-08-2023,1817
5078,2078,CARD,Success,22-01-2023,1036
5079,2079,CARD,Success,09-10-2023,1891
5080,2080,CARD,Success,23-06-2023,202
5081,2081,CASH,Success,25-01-2023,226
5082,2082,CASH,Failed,14-05-2023,746
5083,2083,CASH,Success,29-11-2023,562
5084,2084,UPI,Failed,22-01-2023,1774
5085,2085,UPI,Failed,06-07-2023,472
5086,2086,UPI,Success,22-01-2023,1693
5087,2087,CASH,Success,04-05-2023,1917
5088,2088,CARD,Failed,24-12-2023,223
5089,2089,UPI,Success,03-09-2023,697
5090,2090,UPI,Success,29-11-2023,1361
5091,2091,UPI,Failed,21-09-2023,318
5092,2092,CASH,Success,01-04-2023,664
5093,2093,CASH,Failed,29-08-2023,1086
5094,2094,CARD,Success,24-06-2023,1866
5095,2095,CARD,Success,01-01-2023,436
5096,2096,UPI,Success,11-01-2023,1091
5097,2097,UPI,Failed,16-03-2023,771
5098,2098,CASH,Failed,22-04-2023,512
5099,2099,UPI,Failed,22-01-2023,1705
5100,2100,CASH,Success,26-04-2023,1350
5101,2101,CASH,Failed,23-07-2023,354
5102,2102,CARD,Failed,03-04-2023,979
5103,2103,CASH,Success,22-01-2023,1006
5104,2104,CASH,Success,22-12-2023,972
5105,2105,CASH,Failed,28-12-2023,1498
5106,2106,CARD,Success,22-03-2023,1692
5107,2107,UPI,Failed,12-12-2023,1646
5108,2108,UPI,Failed,06-05-2023,914
5109,2109,CASH,Failed,13-03-2023,1501
5110,2110,UPI,Failed,07-03-2023,1385
5111,2111,CARD,Success,23-10-2023,1732
5112,2112,UPI,Failed,28-11-2023,1592
5113,2113,CASH,Success,30-12-2023,1600
5114,2114,CASH,Success,30-04-2023,1227
5115,2115,CARD,Success,07-06-2023,1894
5116,2116,CASH,Success,22-08-2023,1328
5117,2117,CARD,Success,10-01-2023,1558
5118,2118,CASH,Failed,03-10-2023,1070
5119,2119,UPI,Success,28-11-2023,514
5120,2120,CASH,Failed,17-11-2023,563
5121,2121,UPI,Failed,12-08-2023,1709
5122,2122,CASH,Success,25-04-2023,1880
5123,2123,UPI,Success,19-11-2023,1225
5124,2124,CASH,Failed,07-11-2023,1298
5125,2125,UPI,Failed,23-12-2023,1879
5126,2126,UPI,Failed,06-09-2023,1144
5127,2127,UPI,Success,22-01-2023,1581
5128,2128,CASH,Success,22-08-2023,1981
5129,2129,UPI,Success,18-04-2023,358
5130,2130,CASH,Success,27-01-2023,261
5131,2131,CASH,Success,06-12-2023,494
5132,2132,CASH,Failed,05-08-2023,1300
5133,2133,UPI,Failed,24-12-2023,1876
5134,2134,CASH,Failed,22-01-2023,207
5135,2135,CASH,Success,04-10-2023,701
5136,2136,CASH,Success,25-12-2023,550
5137,2137,UPI,Success,22-01-2023,237
5138,2138,CASH,Success,27-08-2023,425
5139,2139,CASH,Failed,20-06-2023,1803
5140,2140,CASH,Failed,21-03-2023,676
5141,2141,UPI,Success,18-07-2023,1312
5142,2142,CASH,Success,28-02-2023,923
5143,2143,CASH,Success,21-05-2023,227
5144,2144,CASH,Success,08-07-2023,243
5145,2145,CASH,Failed,24-06-2023,840
5146,2146,CASH,Success,22-01-2023,1777
5147,2147,UPI,Success,29-10-2023,616
5148,2148,CARD,Success,01-03-2023,968
5149,2149,CARD,Success,20-08-2023,455
5150,2150,UPI,Failed,03-09-2023,1014
5151,2151,UPI,Failed,31-01-2023,1633
5152,2152,CARD,Success,08-06-2023,863
5153,2153,UPI,Success,24-11-2023,1116
5154,2154,CASH,Success,14-12-2023,1210
5155,2155,UPI,Failed,08-04-2023,1632
5156,2156,UPI,Success,27-12-2023,1758
5157,2157,CASH,Success,14-03-2023,396
5158,2158,CASH,Failed,25-05-2023,842
5159,2159,CASH,Success,14-10-2023,544
5160,2160,CARD,Failed,25-10-2023,1356
5161,2161,CASH,Success,23-12-2023,1074
5162,2162,CARD,Success,09-09-2023,1364
5163,2163,UPI,Failed,04-10-2023,1603
5164,2164,CARD,Success,28-07-2023,1944
5165,2165,CASH,Success,29-04-2023,1540
5166,2166,CARD,Success,22-05-2023,227
5167,2167,CASH,Success,03-03-2023,728
5168,2168,CASH,Failed,22-01-2023,573
5169,2169,CASH,Failed,19-11-2023,242
5170,2170,CASH,Success,19-11-2023,1854
5171,2171,CARD,Failed,27-10-2023,1709
5172,2172,CARD,Success,11-02-2023,1394
5173,2173,CARD,Success,22-07-2023,812
5174,2174,CASH,Failed,16-04-2023,801
5175,2175,UPI,Success,13-08-2023,1521
5176,2176,CASH,Success,07-01-2023,714
5177,2177,UPI,Success,27-09-2023,1781
5178,2178,CARD,Success,12-08-2023,740
5179,2179,CASH,Success,17-04-2023,1392
5180,2180,CASH,Failed,12-03-2023,1014
5181,2181,UPI,Success,03-05-2023,423
5182,2182,UPI,Success,18-02-2023,899
5183,2183,UPI,Success,09-07-2023,949
5184,2184,CARD,Success,01-12-2023,648
5185,2185,UPI,Success,22-02-2023,1799
5186,2186,UPI,Failed,01-09-2023,1987
5187,2187,CARD,Success,04-01-2023,777
5188,2188,CASH,Success,01-03-2023,471
5189,2189,CASH,Failed,16-12-2023,1741
5190,2190,CASH,Success,26-08-2023,980
5191,2191,CARD,Success,26-12-2023,1905
5192,2192,CASH,Success,21-12-2023,595
5193,2193,CASH,Failed,26-03-2023,962
5194,2194,CASH,Success,19-04-2023,1050
5195,2195,CASH,Success,04-08-2023,1921
5196,2196,UPI,Failed,26-05-2023,983
5197,2197,UPI,Failed,10-12-2023,1491
5198,2198,CASH,Success,14-08-2023,996
5199,2199,UPI,Failed,22-01-2023,531
5200,2200,CASH,Success,31-12-2023,288
5201,2201,CARD,Success,27-08-2023,1561
5202,2202,CASH,Success,17-02-2023,1659
5203,2203,CASH,Success,22-10-2023,474
5204,2204,CASH,Failed,09-05-2023,1793
5205,2205,CASH,Success,18-04-2023,565
5206,2206,UPI,Failed,18-05-2023,1450
5207,2207,CASH,Success,17-03-2023,1637
5208,2208,CASH,Success,22-01-2023,1908
5209,2209,UPI,Success,22-06-2023,657
5210,2210,CASH,Failed,28-09-2023,1542
5211,2211,UPI,Success,12-11-2023,727
5212,2212,CARD,Success,12-08-2023,441
5213,2213,CASH,Success,17-11-2023,1084
5214,2214,CARD,Failed,24-12-2023,1502
5215,2215,CARD,Failed,09-12-2023,222
5216,2216,UPI,Failed,06-03-2023,1606
5217,2217,CARD,Success,23-12-2023,635
5218,2218,CASH,Failed,22-01-2023,1954
5219,2219,CARD,Success,06-05-2023,1925
5220,2220,CARD,Success,05-05-2023,988
5221,2221,UPI,Success,22-04-2023,1492
5222,2222,CASH,Success,05-02-2023,1257
5223,2223,UPI,Success,22-01-2023,1661
5224,2224,UPI,Failed,05-03-2023,978
5225,2225,CASH,Success,25-07-2023,727
5226,2226,CASH,Failed,21-03-2023,1798
5227,2227,CARD,Failed,15-03-2023,643
5228,2228,UPI,Success,12-01-2023,821
5229,2229,CASH,Failed,25-07-2023,818
5230,2230,CASH,Success,06-01-2023,915
5231,2231,CASH,Success,22-01-2023,686
5232,2232,CARD,Success,19-11-2023,999
5233,2233,CASH,Success,06-01-2023,1243
5234,2234,CARD,Success,12-09-2023,919
5235,2235,CASH,Success,01-04-2023,1826
5236,2236,CARD,Success,17-12-2023,450
5237,2237,UPI,Success,30-05-2023,1256
5238,2238,CASH,Success,20-02-2023,474
5239,2239,CARD,Failed,11-07-2023,1007
5240,2240,CARD,Success,05-09-2023,272
5241,2241,CASH,Failed,22-12-2023,1063
5242,2242,UPI,Success,15-12-2023,569
5243,2243,CASH,Success,19-12-2023,1192
5244,2244,UPI,Failed,03-01-2023,865
5245,2245,UPI,Success,09-02-2023,1890
5246,2246,CASH,Failed,18-02-2023,455
5247,2247,CASH,Failed,22-01-2023,1660
5248,2248,CARD,Success,04-05-2023,1581
5249,2249,CARD,Failed,02-01-2023,1108
5250,2250,UPI,Success,30-07-2023,1641
5251,2251,UPI,Success,27-06-2023,274
5252,2252,CARD,Failed,24-06-2023,630
5253,2253,CARD,Failed,27-09-2023,1966
5254,2254,CASH,Failed,16-06-2023,1574
5255,2255,CASH,Success,23-06-2023,284
5256,2256,CARD,Failed,10-03-2023,1085
5257,2257,UPI,Failed,03-02-2023,969
5258,2258,CASH,Success,29-05-2023,581
5259,2259,UPI,Success,22-01-2023,1925
5260,2260,CARD,Success,25-09-2023,1603
5261,2261,CASH,Success,28-12-2023,1614
5262,2262,CASH,Success,25-05-2023,503
5263,2263,UPI,Success,22-01-2023,1549
5264,2264,CASH,Failed,03-05-2023,1734
5265,2265,CARD,Failed,22-05-2023,1703
5266,2266,CASH,Failed,15-06-2023,1655
5267,2267,CASH,Success,22-01-2023,992
5268,2268,CARD,Failed,11-02-2023,855
5269,2269,CARD,Failed,19-11-2023,828
5270,2270,CARD,Success,22-01-2023,1549
5271,2271,CASH,Failed,16-07-2023,949
5272,2272,CASH,Failed,15-07-2023,528
5273,2273,UPI,Success,16-01-2023,217
5274,2274,CASH,Failed,01-02-2023,1718
5275,2275,CASH,Success,19-04-2023,478
5276,2276,UPI,Failed,08-08-2023,1224
5277,2277,CARD,Failed,31-07-2023,771
5278,2278,CASH,Success,22-01-2023,1220
5279,2279,UPI,Success,19-01-2023,1889
5280,2280,CASH,Success,23-08-2023,1093
5281,2281,CASH,Success,01-03-2023,928
5282,2282,CASH,Failed,23-04-2023,659
5283,2283,UPI,Success,05-04-2023,1144
5284,2284,UPI,Success,21-02-2023,227
5285,2285,CARD,Success,09-09-2023,582
5286,2286,CASH,Success,22-01-2023,488
5287,2287,CASH,Success,20-08-2023,938
5288,2288,CARD,Success,20-03-2023,1079
5289,2289,UPI,Success,07-11-2023,1729
5290,2290,CARD,Success,11-09-2023,890
5291,2291,CASH,Success,10-10-2023,1296
5292,2292,CASH,Failed,17-03-2023,1315
5293,2293,CASH,Success,11-03-2023,1427
5294,2294,CARD,Failed,26-12-2023,1015
5295,2295,UPI,Success,26-08-2023,776
5296,2296,CASH,Success,10-05-2023,823
5297,2297,CASH,Failed,16-04-2023,531
5298,2298,UPI,Success,20-06-2023,1914
5299,2299,UPI,Failed,21-06-2023,1579
5300,2300,CASH,Failed,23-11-2023,1190
5301,2301,UPI,Failed,15-10-2023,990
5302,2302,CASH,Success,14-04-2023,373
5303,2303,CARD,Success,03-08-2023,805
5304,2304,CASH,Failed,15-07-2023,1417
5305,2305,CARD,Success,21-10-2023,1520
5306,2306,UPI,Success,22-01-2023,521
5307,2307,UPI,Success,22-01-2023,326
5308,2308,CASH,Success,15-08-2023,640
5309,2309,UPI,Success,19-05-2023,684
5310,2310,CASH,Success,22-01-2023,555
5311,2311,CARD,Failed,30-03-2023,1199
5312,2312,UPI,Success,21-05-2023,333
5313,2313,CASH,Success,25-07-2023,448
5314,2314,UPI,Success,22-01-2023,1856
5315,2315,UPI,Failed,09-12-2023,1938
5316,2316,CARD,Failed,15-10-2023,211
5317,2317,CARD,Success,17-04-2023,1889
5318,2318,CASH,Success,25-05-2023,1630
5319,2319,UPI,Success,22-06-2023,1220
5320,2320,CASH,Failed,22-01-2023,1393
5321,2321,CARD,Success,12-10-2023,810
5322,2322,UPI,Failed,28-02-2023,1210
5323,2323,CASH,Success,23-08-2023,1378
5324,2324,CARD,Failed,22-01-2023,966
5325,2325,CASH,Failed,14-07-2023,1505
5326,2326,CARD,Failed,31-01-2023,514
5327,2327,CASH,Success,23-10-2023,230
5328,2328,UPI,Success,22-01-2023,759
5329,2329,CASH,Success,22-08-2023,692
5330,2330,CASH,Failed,06-08-2023,528
5331,2331,CASH,Failed,06-02-2023,323
5332,2332,CASH,Failed,06-10-2023,749
5333,2333,UPI,Success,14-12-2023,1503
5334,2334,UPI,Success,03-06-2023,319
5335,2335,UPI,Success,22-01-2023,746
5336,2336,CASH,Failed,15-07-2023,1338
5337,2337,CASH,Success,21-09-2023,1824
5338,2338,CASH,Success,03-12-2023,1498
5339,2339,CASH,Success,09-05-2023,1583
5340,2340,UPI,Failed,13-11-2023,1178
5341,2341,UPI,Failed,22-01-2023,1883
5342,2342,CASH,Success,25-05-2023,1682
5343,2343,CARD,Failed,13-03-2023,1619
5344,2344,UPI,Success,23-09-2023,1926
5345,2345,UPI,Success,18-08-2023,1121
5346,2346,CASH,Success,07-07-2023,1859
5347,2347,CARD,Failed,14-02-2023,1474
5348,2348,UPI,Success,31-07-2023,619
5349,2349,CASH,Success,08-02-2023,308
5350,2350,CASH,Success,27-10-2023,861
5351,2351,UPI,Failed,15-07-2023,1275
5352,2352,CASH,Success,28-07-2023,498
5353,2353,CASH,Failed,10-07-2023,1944
5354,2354,CARD,Success,21-05-2023,393
5355,2355,UPI,Failed,16-10-2023,1389
5356,2356,CARD,Failed,05-05-2023,1574
5357,2357,CASH,Success,28-01-2023,699
5358,2358,CASH,Failed,18-09-2023,577
5359,2359,CARD,Failed,22-04-2023,1980
5360,2360,CARD,Success,09-10-2023,1574
5361,2361,CASH,Failed,28-08-2023,297
5362,2362,UPI,Success,22-04-2023,1402
5363,2363,CASH,Success,01-05-2023,437
5364,2364,UPI,Failed,25-12-2023,1788
5365,2365,CASH,Success,22-01-2023,1855
5366,2366,UPI,Success,17-06-2023,1055
5367,2367,CASH,Success,23-06-2023,319
5368,2368,UPI,Success,15-04-2023,1893
5369,2369,CARD,Failed,17-12-2023,423
5370,2370,UPI,Success,07-01-2023,1903
5371,2371,CASH,Failed,27-12-2023,1348
5372,2372,UPI,Failed,22-01-2023,1399
5373,2373,CASH,Success,22-01-2023,518
5374,2374,UPI,Failed,21-11-2023,1200
5375,2375,UPI,Success,22-01-2023,346
5376,2376,CASH,Success,11-08-2023,1830
5377,2377,CASH,Success,13-06-2023,1088
5378,2378,CASH,Failed,22-12-2023,918
5379,2379,UPI,Success,22-12-2023,686
5380,2380,CASH,Success,16-10-2023,1343
5381,2381,CASH,Success,21-12-2023,1406
5382,2382,CASH,Success,10-09-2023,338
5383,2383,CASH,Success,27-05-2023,1841
5384,2384,CASH,Failed,13-05-2023,1733
5385,2385,CARD,Success,03-03-2023,623
5386,2386,CASH,Failed,17-02-2023,1835
5387,2387,CARD,Success,12-09-2023,1951
5388,2388,UPI,Failed,09-04-2023,1941
5389,2389,CASH,Success,01-05-2023,445
5390,2390,CARD,Failed,13-02-2023,1409
5391,2391,CARD,Success,25-11-2023,866
5392,2392,UPI,Failed,20-01-2023,604
5393,2393,CARD,Success,09-02-2023,695
5394,2394,UPI,Success,23-05-2023,614
5395,2395,CASH,Success,22-09-2023,1242
5396,2396,CASH,Success,06-08-2023,1812
5397,2397,CASH,Failed,10-10-2023,498
5398,2398,CASH,Success,20-05-2023,1425
5399,2399,UPI,Success,20-04-2023,1753
5400,2400,UPI,Failed,10-06-2023,1932
5401,2401,CASH,Success,22-01-2023,859
5402,2402,CARD,Success,05-06-2023,1463
5403,2403,CASH,Failed,22-01-2023,1452
5404,2404,CASH,Success,28-03-2023,1664
5405,2405,CARD,Success,22-01-2023,462
5406,2406,CARD,Success,02-05-2023,1055
5407,2407,UPI,Success,22-01-2023,697
5408,2408,CARD,Success,08-05-2023,1476
5409,2409,CASH,Failed,25-10-2023,747
5410,2410,CASH,Failed,21-11-2023,937
5411,2411,CASH,Success,15-02-2023,1399
5412,2412,CARD,Failed,21-02-2023,1659
5413,2413,CASH,Success,22-01-2023,911
5414,2414,CASH,Success,10-03-2023,311
5415,2415,UPI,Success,08-01-2023,374
5416,2416,CARD,Success,03-01-2023,851
5417,2417,UPI,Success,15-04-2023,1500
5418,2418,UPI,Failed,10-12-2023,1115
5419,2419,UPI,Success,24-10-2023,1043
5420,2420,UPI,Success,03-12-2023,1262
5421,2421,UPI,Failed,27-03-2023,647
5422,2422,UPI,Success,14-04-2023,1038
5423,2423,CASH,Failed,08-04-2023,300
5424,2424,CASH,Success,30-10-2023,1720
5425,2425,CASH,Failed,22-01-2023,1753
5426,2426,CASH,Success,27-04-2023,854
5427,2427,UPI,Success,06-03-2023,1109
5428,2428,CASH,Failed,05-06-2023,1580
5429,2429,CASH,Success,17-07-2023,1625
5430,2430,CASH,Failed,19-02-2023,1252
5431,2431,CASH,Success,11-03-2023,1212
5432,2432,UPI,Failed,04-10-2023,490
5433,2433,CASH,Failed,10-12-2023,667
5434,2434,CASH,Failed,17-03-2023,488
5435,2435,CARD,Success,13-05-2023,1619
5436,2436,CASH,Success,22-01-2023,1778
5437,2437,CASH,Success,05-02-2023,1989
5438,2438,CASH,Success,17-11-2023,284
5439,2439,CARD,Success,22-01-2023,1069
5440,2440,CARD,Success,06-12-2023,833
5441,2441,CASH,Failed,22-10-2023,1166
5442,2442,UPI,Failed,29-01-2023,857
5443,2443,UPI,Success,20-04-2023,1571
5444,2444,CASH,Failed,02-11-2023,1097
5445,2445,CASH,Success,04-04-2023,1387
5446,2446,UPI,Success,22-01-2023,1457
5447,2447,CARD,Failed,22-01-2023,1435
5448,2448,CARD,Success,30-07-2023,1765
5449,2449,CASH,Success,22-01-2023,1722
5450,2450,CARD,Failed,22-01-2023,832
5451,2451,CASH,Failed,22-01-2023,1943
5452,2452,CARD,Failed,09-02-2023,378
5453,2453,CARD,Success,22-02-2023,1421
5454,2454,UPI,Success,16-08-2023,977
5455,2455,CASH,Failed,22-01-2023,787
5456,2456,UPI,Success,24-05-2023,1421
5457,2457,CASH,Success,25-07-2023,1216
5458,2458,UPI,Success,06-11-2023,723
5459,2459,CASH,Failed,26-12-2023,1645
5460,2460,CASH,Failed,22-01-2023,567
5461,2461,CASH,Failed,12-04-2023,1503
5462,2462,CASH,Success,10-04-2023,1689
5463,2463,CASH,Failed,29-09-2023,688
5464,2464,CASH,Success,10-04-2023,1758
5465,2465,CARD,Success,30-03-2023,1005
5466,2466,CARD,Failed,22-01-2023,609
5467,2467,UPI,Success,06-02-2023,1174
5468,2468,CARD,Success,20-10-2023,1199
5469,2469,CARD,Failed,03-04-2023,1990
5470,2470,CASH,Success,22-01-2023,1367
5471,2471,CASH,Success,09-11-2023,1066
5472,2472,CASH,Success,03-06-2023,1941
5473,2473,UPI,Success,18-05-2023,1224
5474,2474,CASH,Success,27-02-2023,1369
5475,2475,CASH,Success,03-12-2023,1504
5476,2476,UPI,Failed,05-04-2023,1935
5477,2477,CASH,Failed,15-09-2023,1104
5478,2478,CARD,Failed,07-12-2023,837
5479,2479,UPI,Failed,22-01-2023,1260
5480,2480,CASH,Success,26-12-2023,1576
5481,2481,CASH,Success,02-05-2023,690
5482,2482,UPI,Success,26-01-2023,761
5483,2483,UPI,Success,21-11-2023,1775
5484,2484,UPI,Success,18-01-2023,956
5485,2485,CASH,Failed,17-04-2023,1173
5486,2486,UPI,Success,12-12-2023,1949
5487,2487,CASH,Success,22-01-2023,287
5488,2488,CASH,Success,14-08-2023,1066
5489,2489,CARD,Success,24-12-2023,402
5490,2490,CASH,Failed,15-02-2023,1693
5491,2491,CASH,Success,25-05-2023,688
5492,2492,UPI,Success,31-03-2023,1936
5493,2493,CASH,Success,22-01-2023,1323
5494,2494,CASH,Failed,12-01-2023,1090
5495,2495,CASH,Failed,10-10-2023,1146
5496,2496,CASH,Success,26-04-2023,1495
5497,2497,CASH,Failed,22-01-2023,569
5498,2498,CASH,Success,07-09-2023,672
5499,2499,UPI,Success,22-01-2023,1238
5500,2500,CASH,Success,04-11-2023,896
5501,2501,CASH,Success,26-02-2023,1456
5502,2502,UPI,Success,07-10-2023,1691
5503,2503,CASH,Failed,31-03-2023,1072
5504,2504,CASH,Success,29-01-2023,852
5505,2505,CARD,Success,24-11-2023,1928
5506,2506,UPI,Success,12-07-2023,1845
5507,2507,CASH,Success,22-01-2023,1653
5508,2508,UPI,Success,02-06-2023,1708
5509,2509,CASH,Failed,22-01-2023,1803
5510,2510,CARD,Success,08-03-2023,1783
5511,2511,CARD,Success,22-01-2023,1786
5512,2512,CARD,Failed,10-02-2023,1485
5513,2513,CARD,Success,01-09-2023,860
5514,2514,UPI,Success,27-01-2023,1420
5515,2515,UPI,Success,16-04-2023,1201
5516,2516,CASH,Success,22-01-2023,203
5517,2517,CARD,Success,22-01-2023,714
5518,2518,UPI,Success,11-09-2023,848
5519,2519,UPI,Failed,14-11-2023,1481
5520,2520,CASH,Success,16-11-2023,1121
5521,2521,UPI,Success,11-12-2023,1654
5522,2522,UPI,Failed,23-05-2023,1801
5523,2523,UPI,Failed,15-11-2023,1491
5524,2524,CASH,Success,04-02-2023,896
5525,2525,CASH,Failed,12-02-2023,453
5526,2526,CASH,Success,25-11-2023,720
5527,2527,CARD,Failed,25-05-2023,596
5528,2528,CASH,Success,17-01-2023,924
5529,2529,CASH,Success,05-08-2023,427
5530,2530,CASH,Failed,14-08-2023,1471
5531,2531,CASH,Failed,25-03-2023,1118
5532,2532,CARD,Success,21-07-2023,1537
5533,2533,CASH,Failed,29-07-2023,1241
5534,2534,CASH,Success,26-08-2023,1705
5535,2535,UPI,Failed,21-06-2023,304
5536,2536,CASH,Success,18-02-2023,1482
5537,2537,CARD,Success,05-12-2023,1728
5538,2538,CASH,Success,22-01-2023,417
5539,2539,UPI,Success,24-07-2023,485
5540,2540,CARD,Failed,14-10-2023,581
5541,2541,CASH,Success,20-02-2023,1582
5542,2542,UPI,Success,01-08-2023,531
5543,2543,CASH,Success,19-11-2023,587
5544,2544,UPI,Success,22-01-2023,1817
5545,2545,CASH,Success,06-01-2023,819
5546,2546,UPI,Success,22-01-2023,792
5547,2547,UPI,Failed,11-10-2023,424
5548,2548,CARD,Failed,27-06-2023,1333
5549,2549,CARD,Success,20-11-2023,811
5550,2550,CASH,Failed,07-09-2023,1636
5551,2551,CASH,Success,27-03-2023,918
5552,2552,CASH,Success,04-10-2023,950
5553,2553,CASH,Success,27-02-2023,332
5554,2554,UPI,Failed,31-01-2023,219
5555,2555,CASH,Success,22-01-2023,965
5556,2556,UPI,Success,24-09-2023,1647
5557,2557,CASH,Success,25-03-2023,351
5558,2558,UPI,Failed,05-06-2023,1079
5559,2559,CARD,Success,25-12-2023,734
5560,2560,CASH,Failed,03-01-2023,712
5561,2561,UPI,Success,13-02-2023,393
5562,2562,CARD,Success,07-01-2023,1523
5563,2563,CASH,Success,27-06-2023,1939
5564,2564,CASH,Success,26-01-2023,1706
5565,2565,CASH,Success,02-02-2023,274
5566,2566,CASH,Failed,27-02-2023,932
5567,2567,CASH,Success,25-09-2023,678
5568,2568,CASH,Success,25-11-2023,755
5569,2569,UPI,Failed,14-08-2023,1590
5570,2570,CASH,Success,29-09-2023,1029
5571,2571,CASH,Success,08-08-2023,451
5572,2572,CASH,Success,27-01-2023,272
5573,2573,CARD,Success,13-08-2023,1655
5574,2574,CARD,Success,29-12-2023,1472
5575,2575,CARD,Failed,30-04-2023,1741
5576,2576,CASH,Failed,23-04-2023,1932
5577,2577,CASH,Success,07-11-2023,1706
5578,2578,UPI,Success,29-08-2023,1584
5579,2579,CASH,Success,16-01-2023,785
5580,2580,CASH,Success,06-06-2023,831
5581,2581,UPI,Success,06-03-2023,548
5582,2582,CARD,Failed,02-09-2023,869
5583,2583,CARD,Failed,20-01-2023,1762
5584,2584,CARD,Success,01-02-2023,1336
5585,2585,CARD,Success,31-05-2023,1961
5586,2586,UPI,Failed,22-01-2023,915
5587,2587,CASH,Success,16-09-2023,1174
5588,2588,CASH,Success,15-11-2023,995
5589,2589,CARD,Success,13-12-2023,955
5590,2590,UPI,Success,30-09-2023,1512
5591,2591,CASH,Success,22-01-2023,423
5592,2592,UPI,Success,07-03-2023,1144
5593,2593,CARD,Success,14-06-2023,1973
5594,2594,CASH,Success,22-01-2023,1738
5595,2595,CASH,Success,10-09-2023,1235
5596,2596,CASH,Success,06-03-2023,209
5597,2597,CASH,Success,24-11-2023,1961
5598,2598,CASH,Success,22-01-2023,1910
5599,2599,CASH,Failed,22-01-2023,990
5600,2600,CASH,Failed,18-12-2023,897
5601,2601,CASH,Success,07-11-2023,376
5602,2602,CASH,Success,20-11-2023,1213
5603,2603,UPI,Failed,02-10-2023,405
5604,2604,CARD,Failed,28-07-2023,259
5605,2605,CASH,Success,19-12-2023,819
5606,2606,UPI,Failed,10-03-2023,794
5607,2607,UPI,Failed,06-05-2023,270
5608,2608,CASH,Failed,04-10-2023,896
