order_id,customer_id,restaurant_id,order_date,order_time,order_status,Order_day,order_hour,delivery_time_minutes,total_amount
2098,2284,318,2023-05-30,20:15,Delivered,Tuesday,20,39,1441
2099,2378,359,2023-06-28,17:00,Delivered,Wednesday,17,48,217
2100,2138,377,2023-11-28,17:00,Cancelled,Tuesday,17,32,757
2101,1188,302,2023-10-14,22:45,Delivered,Saturday,22,38,925
2102,1129,323,2023-05-11,22:30,Delivered,Thursday,22,47,265
2103,1442,382,2023-11-21,17:45,Cancelled,Tuesday,17,33,1763
2104,1912,306,2023-11-21,18:45,Delivered,Tuesday,18,43,836
2105,1301,331,2023-09-04,18:30,Delivered,Monday,18,44,1895
2106,1054,321,2023-07-06,22:45,Delivered,Thursday,22,30,1538
2107,1305,306,2023-09-11,18:00,Delivered,Monday,18,52,1443
2108,1117,387,2023-09-11,15:15,Delivered,Monday,15,59,1032
2109,1894,347,2023-11-30,14:15,Cancelled,Thursday,14,33,1165
2110,1528,316,2023-10-06,12:15,Delivered,Friday,12,39,205
2111,2129,327,2023-05-19,17:45,Delivered,Friday,17,31,630
2112,2397,347,2023-10-04,10:30,Delivered,Wednesday,10,58,539
2113,1073,355,2023-04-13,19:15,Delivered,Thursday,19,36,378
2114,2084,377,2023-09-22,13:00,Delivered,Friday,13,45,370
2115,1290,363,2023-09-22,20:45,Cancelled,Friday,20,21,454
2116,1439,314,2023-10-17,14:30,Delivered,Tuesday,14,55,689
2117,1818,334,2023-06-23,18:00,Cancelled,Friday,18,60,954
2118,1540,345,2023-06-23,12:45,Delivered,Friday,12,45,1830
2119,1339,313,2023-12-27,22:45,Delivered,Wednesday,22,32,649
2120,1269,352,2023-03-29,21:15,Cancelled,Wednesday,21,47,894
2121,1123,387,2023-01-15,16:45,Cancelled,Sunday,16,31,1271
2122,1134,373,2023-04-18,11:45,Delivered,Tuesday,11,57,410
2123,2121,330,2023-01-19,15:45,Delivered,Thursday,15,43,1306
2124,2033,395,2023-09-07,21:30,Delivered,Thursday,21,69,707
2125,1480,384,2023-05-12,13:45,Delivered,Friday,13,45,789
2126,2388,386,2023-04-03,19:15,Cancelled,Monday,19,66,669
2127,1792,361,2023-11-24,20:30,Delivered,Friday,20,40,387
2128,1298,309,2023-02-28,21:45,Delivered,Tuesday,21,53,1892
2129,1817,338,2023-02-28,18:15,Delivered,Tuesday,18,45,784
2130,1676,386,2023-05-28,14:00,Cancelled,Sunday,14,50,387
2131,2450,394,2023-08-13,19:00,Delivered,Sunday,19,45,922
2132,1806,342,2023-09-16,20:00,Delivered,Saturday,20,60,910
2133,1646,353,2023-02-21,12:45,Delivered,Tuesday,12,45,1993
2134,1821,304,2023-01-21,10:30,Delivered,Saturday,10,69,1336
2135,2406,316,2023-05-15,15:45,Cancelled,Monday,15,27,1965
2136,1364,305,2023-01-23,16:45,Delivered,Monday,16,56,1418
2137,2285,364,2023-04-14,11:00,Delivered,Friday,11,69,1187
2138,2295,322,2023-10-30,14:00,Cancelled,Monday,14,31,1450
2139,2237,303,2023-07-02,11:45,Cancelled,Sunday,11,29,1973
2140,1286,378,2023-06-08,15:00,Cancelled,Thursday,15,56,304
2141,2190,357,2023-06-08,10:45,Cancelled,Thursday,10,45,1385
2142,2077,316,2023-10-30,21:00,Delivered,Monday,21,50,1717
2143,1110,359,2023-07-06,14:45,Delivered,Thursday,14,51,1463
2144,2181,326,2023-11-07,22:00,Cancelled,Tuesday,22,53,581
2145,1489,334,2023-12-15,11:15,Delivered,Friday,11,35,884
2146,2495,349,2023-09-18,22:15,Cancelled,Monday,22,32,1221
2147,2448,398,2023-07-22,22:30,Delivered,Saturday,22,56,1849
2148,1445,339,2023-03-06,22:30,Delivered,Monday,22,26,810
2149,1851,319,2023-05-28,13:30,Cancelled,Sunday,13,48,1041
2150,2161,349,2023-05-28,13:15,Delivered,Sunday,13,56,1051
2151,2064,366,2023-05-15,11:30,Cancelled,Monday,11,31,551
2152,1340,365,2023-08-14,14:45,Delivered,Monday,14,50,1971
2153,1859,345,2023-01-19,18:30,Cancelled,Thursday,18,55,477
2154,1574,362,2023-02-21,21:00,Cancelled,Tuesday,21,67,493
2155,2220,362,2023-03-26,22:30,Delivered,Sunday,22,47,286
2156,2093,394,2023-04-12,10:45,Delivered,Wednesday,10,22,434
2157,1292,364,2023-05-06,21:00,Delivered,Saturday,21,54,559
2158,1204,342,2023-05-20,10:15,Delivered,Saturday,10,45,1071
2159,2039,347,2023-07-07,14:00,Cancelled,Friday,14,20,463
2160,2128,328,2023-12-10,17:45,Delivered,Sunday,17,62,525
2161,1876,303,2023-01-03,14:30,Delivered,Tuesday,14,30,938
2162,2186,398,2023-02-22,15:15,Delivered,Wednesday,15,63,945
2163,1942,396,2023-02-16,14:45,Delivered,Thursday,14,55,1194
2164,1871,372,2023-05-14,17:15,Cancelled,Sunday,17,46,1706
2165,1802,303,2023-08-17,16:00,Cancelled,Thursday,16,69,1832
2166,2028,325,2023-02-09,19:45,Delivered,Thursday,19,63,322
2167,1806,311,2023-11-04,16:45,Delivered,Saturday,16,45,727
2168,1488,400,2023-07-13,10:00,Delivered,Thursday,10,57,470
2169,2088,331,2023-12-05,17:00,Cancelled,Tuesday,17,34,1650
2170,1258,371,2023-04-25,20:30,Delivered,Tuesday,20,28,270
2171,2185,388,2023-09-19,12:45,Cancelled,Tuesday,12,69,606
2172,2432,374,2023-11-14,20:45,Delivered,Tuesday,20,62,232
2173,1168,332,2023-03-26,18:00,Delivered,Sunday,18,34,1676
2174,1413,329,2023-03-26,21:30,Delivered,Sunday,21,45,770
2175,1744,340,2023-12-28,20:00,Delivered,Thursday,20,55,727
2176,2001,399,2023-02-03,13:15,Delivered,Friday,13,45,880
2177,2090,378,2023-05-19,16:45,Delivered,Friday,16,41,1160
2178,1915,312,2023-08-26,22:15,Delivered,Saturday,22,34,1709
2179,1355,327,2023-08-26,20:15,Delivered,Saturday,20,51,1025
2180,2096,365,2023-02-03,11:45,Delivered,Friday,11,38,1222
2181,1169,332,2023-05-25,20:15,Delivered,Thursday,20,48,902
2182,1747,317,2023-05-17,20:15,Delivered,Wednesday,20,34,1665
2183,1484,367,2023-05-16,19:00,Delivered,Tuesday,19,23,1169
2184,1666,367,2023-07-13,19:00,Cancelled,Thursday,19,49,1492
2185,1227,366,2023-01-27,10:45,Cancelled,Friday,10,24,1389
2186,1963,316,2023-02-13,19:45,Cancelled,Monday,19,28,377
2187,2062,322,2023-12-13,14:15,Delivered,Wednesday,14,27,218
2188,1658,368,2023-12-13,12:15,Delivered,Wednesday,12,37,1738
2189,1090,345,2023-11-30,19:30,Delivered,Thursday,19,22,231
2190,1569,311,2023-03-02,22:15,Cancelled,Thursday,22,68,545
2191,2214,331,2023-11-23,20:30,Cancelled,Thursday,20,37,1116
2192,2294,331,2023-11-23,12:15,Delivered,Thursday,12,64,1980
2193,2098,304,2023-06-26,14:00,Delivered,Monday,14,37,1585
2194,2229,327,2023-01-16,17:00,Delivered,Monday,17,50,333
2195,1636,382,2023-04-14,10:00,Cancelled,Friday,10,60,1775
2196,1166,342,2023-09-03,10:00,Delivered,Sunday,10,55,744
2197,2345,376,2023-07-22,12:45,Delivered,Saturday,12,45,741
2198,1063,356,2023-09-24,12:45,Cancelled,Sunday,12,59,247
2199,1234,389,2023-10-15,10:00,Delivered,Sunday,10,58,1188
2200,1346,321,2023-04-29,22:30,Delivered,Saturday,22,54,1547
2201,1218,400,2023-11-21,20:15,Delivered,Tuesday,20,25,1565
2202,1942,383,2023-03-05,20:30,Cancelled,Sunday,20,61,1005
2203,2076,304,2023-07-14,12:45,Delivered,Friday,12,65,912
2204,1230,380,2023-06-21,11:15,Cancelled,Wednesday,11,64,1317
2205,1240,322,2023-05-13,20:15,Delivered,Saturday,20,54,484
2206,2172,377,2023-06-07,21:00,Delivered,Wednesday,21,66,936
2207,2107,368,2023-10-25,21:00,Cancelled,Wednesday,21,64,489
2208,1132,378,2023-07-05,10:15,Delivered,Wednesday,10,33,967
2209,2250,346,2023-03-14,18:00,Cancelled,Tuesday,18,49,401
2210,1372,316,2023-04-20,19:45,Delivered,Thursday,19,45,1978
2211,1085,365,2023-01-05,16:00,Delivered,Thursday,16,47,820
2212,1473,307,2023-06-29,12:15,Delivered,Thursday,12,56,418
2213,2328,378,2023-06-23,10:00,Cancelled,Friday,10,50,908
2214,2097,316,2023-04-18,21:15,Delivered,Tuesday,21,22,1453
2215,2289,365,2023-08-24,15:15,Cancelled,Thursday,15,32,999
2216,2284,304,2023-08-06,15:30,Delivered,Sunday,15,56,1070
2217,1125,318,2023-10-12,11:15,Delivered,Thursday,11,33,1962
2218,2307,398,2023-05-28,21:30,Delivered,Sunday,21,53,832
2219,1903,334,2023-02-17,20:45,Delivered,Friday,20,45,935
2220,1270,378,2023-03-21,11:30,Delivered,Tuesday,11,47,1717
2221,2143,302,2023-03-06,11:00,Cancelled,Monday,11,28,1809
2222,1693,378,2023-12-11,13:15,Delivered,Monday,13,26,1182
2223,2188,345,2023-07-11,10:45,Delivered,Tuesday,10,62,1711
2224,1378,330,2023-07-11,21:30,Delivered,Tuesday,21,30,823
2225,1178,386,2023-07-17,18:30,Cancelled,Monday,18,64,1241
2226,2409,349,2023-03-17,18:30,Delivered,Friday,18,50,1098
2227,1949,331,2023-01-24,17:15,Delivered,Tuesday,17,60,781
2228,2266,301,2023-08-07,22:15,Delivered,Monday,22,58,301
2229,1135,316,2023-04-18,13:15,Delivered,Tuesday,13,45,770
2230,2071,371,2023-11-05,12:30,Delivered,Sunday,12,55,1395
2231,2291,305,2023-11-29,15:30,Delivered,Wednesday,15,25,912
2232,2187,308,2023-08-24,14:45,Cancelled,Thursday,14,45,1561
2233,1211,328,2023-10-08,17:15,Delivered,Sunday,17,49,374
2234,2225,312,2023-03-16,10:15,Cancelled,Thursday,10,52,1717
2235,2116,353,2023-05-30,19:30,Delivered,Tuesday,19,69,469
2236,1950,334,2023-03-29,16:45,Delivered,Wednesday,16,50,1338
2237,1591,328,2023-08-17,18:30,Delivered,Thursday,18,31,240
2238,2499,333,2023-09-03,18:45,Delivered,Sunday,18,45,603
2239,1166,330,2023-01-03,15:30,Delivered,Tuesday,15,22,790
2240,1939,391,2023-01-05,15:00,Delivered,Thursday,15,42,1377
2241,1810,356,2023-12-14,17:00,Delivered,Thursday,17,66,1071
2242,1805,384,2023-05-06,14:15,Cancelled,Saturday,14,69,1214
2243,1084,326,2023-05-22,17:15,Cancelled,Monday,17,23,1416
2244,2368,364,2023-03-23,13:15,Cancelled,Thursday,13,61,1249
2245,1051,357,2023-03-23,18:30,Cancelled,Thursday,18,26,1272
2246,2391,382,2023-09-07,20:00,Delivered,Thursday,20,22,1334
2247,1775,326,2023-06-04,22:30,Delivered,Sunday,22,38,665
2248,2453,374,2023-04-02,13:15,Delivered,Sunday,13,35,494
2249,1147,310,2023-04-24,16:30,Delivered,Monday,16,26,1055
2250,2060,384,2023-03-05,12:30,Delivered,Sunday,12,52,211
2251,1713,351,2023-04-29,19:45,Delivered,Saturday,19,39,1636
2252,1362,387,2023-04-29,17:30,Delivered,Saturday,17,33,1317
2253,1503,306,2023-07-20,18:45,Cancelled,Thursday,18,45,1593
2254,1289,337,2023-12-08,18:00,Delivered,Friday,18,58,350
2255,1363,372,2023-12-28,20:45,Delivered,Thursday,20,36,1898
2256,1029,353,2023-11-27,13:45,Delivered,Monday,13,33,882
2257,2088,318,2023-04-30,10:45,Delivered,Sunday,10,64,432
2258,2148,371,2023-10-22,17:45,Cancelled,Sunday,17,25,1062
2259,1493,325,2023-05-26,13:15,Delivered,Friday,13,31,833
2260,1540,385,2023-02-18,17:15,Cancelled,Saturday,17,20,1134
2261,2278,361,2023-08-01,21:15,Delivered,Tuesday,21,50,520
2262,2334,347,2023-12-10,11:15,Cancelled,Sunday,11,35,1013
2263,2477,310,2023-06-08,15:15,Delivered,Thursday,15,43,470
2264,1036,307,2023-06-14,15:45,Delivered,Wednesday,15,47,258
2265,1446,372,2023-01-19,18:00,Cancelled,Thursday,18,43,1361
2266,1599,352,2023-01-19,11:00,Delivered,Thursday,11,45,1666
2267,2263,317,2023-09-21,16:30,Cancelled,Thursday,16,56,886
2268,1972,390,2023-06-13,20:00,Delivered,Tuesday,20,20,1493
2269,2015,304,2023-01-17,13:45,Delivered,Tuesday,13,57,732
2270,1433,365,2023-06-14,11:30,Delivered,Wednesday,11,45,1565
2271,2151,342,2023-12-11,22:45,Cancelled,Monday,22,31,1716
2272,1044,316,2023-08-12,16:15,Delivered,Saturday,16,21,1050
2273,1145,329,2023-09-29,11:30,Delivered,Friday,11,45,1391
2274,1349,324,2023-03-14,12:00,Cancelled,Tuesday,12,59,1758
2275,1653,331,2023-09-16,13:00,Cancelled,Saturday,13,28,533
2276,1817,334,2023-05-12,11:45,Cancelled,Friday,11,47,475
2277,1119,369,2023-01-26,17:00,Cancelled,Thursday,17,59,1897
2278,2138,313,2023-01-26,15:30,Delivered,Thursday,15,51,875
2279,1135,367,2023-01-03,17:15,Cancelled,Tuesday,17,44,213
2280,2171,314,2023-02-12,15:00,Delivered,Sunday,15,65,1020
2281,1301,340,2023-08-10,15:45,Delivered,Thursday,15,70,854
2282,1045,310,2023-06-02,11:30,Cancelled,Friday,11,31,1729
2283,1201,378,2023-08-13,14:30,Delivered,Sunday,14,33,1728
2284,1797,379,2023-10-17,14:30,Cancelled,Tuesday,14,25,256
2285,2304,378,2023-05-13,19:00,Cancelled,Saturday,19,45,279
2286,1491,357,2023-07-16,19:00,Delivered,Sunday,19,70,683
2287,1186,311,2023-04-07,22:00,Delivered,Friday,22,30,908
2288,2250,333,2023-08-18,20:00,Cancelled,Friday,20,25,1273
2289,1664,395,2023-06-11,18:00,Cancelled,Sunday,18,31,1612
2290,2265,331,2023-02-06,10:15,Delivered,Monday,10,53,1840
2291,1546,393,2023-05-05,11:30,Delivered,Friday,11,45,1571
2292,1373,338,2023-09-25,10:45,Cancelled,Monday,10,70,328
2293,1844,388,2023-02-12,21:45,Delivered,Sunday,21,22,1032
2294,2064,341,2023-01-23,13:00,Cancelled,Monday,13,52,1616
2295,1910,307,2023-08-27,12:30,Delivered,Sunday,12,21,1842
2296,1427,306,2023-08-27,12:00,Cancelled,Sunday,12,54,1036
2297,2061,336,2023-01-13,16:00,Delivered,Friday,16,27,1307
2298,2055,322,2023-01-13,22:15,Cancelled,Friday,22,70,1263
2299,1513,336,2023-05-27,13:30,Delivered,Saturday,13,45,1203
2300,2443,315,2023-05-27,13:00,Delivered,Saturday,13,51,268
2301,2496,372,2023-02-06,10:30,Delivered,Monday,10,23,867
2302,1006,350,2023-12-18,16:45,Delivered,Monday,16,44,965
2303,1245,328,2023-09-09,14:00,Cancelled,Saturday,14,46,652
2304,1275,327,2023-09-09,18:15,Cancelled,Saturday,18,21,1174
2305,1969,323,2023-11-12,10:30,Cancelled,Sunday,10,54,648
2306,1608,321,2023-03-30,13:30,Cancelled,Thursday,13,45,1282
2307,2108,309,2023-02-23,20:00,Cancelled,Thursday,20,45,1617
2308,1370,312,2023-05-23,20:45,Cancelled,Tuesday,20,41,605
2309,2149,319,2023-08-20,21:45,Delivered,Sunday,21,33,1277
2310,1157,399,2023-08-20,18:45,Cancelled,Sunday,18,60,266
2311,1345,386,2023-02-24,19:15,Delivered,Friday,19,33,338
2312,2163,314,2023-05-11,20:45,Delivered,Thursday,20,40,583
2313,1322,393,2023-07-06,12:00,Cancelled,Thursday,12,45,1509
2314,1923,309,2023-04-02,10:30,Delivered,Sunday,10,65,1595
2315,1015,301,2023-08-23,10:45,Delivered,Wednesday,10,48,1141
2316,1633,338,2023-01-09,21:30,Delivered,Monday,21,22,1641
2317,1396,307,2023-01-09,20:45,Delivered,Monday,20,65,1740
2318,1197,303,2023-10-14,17:45,Delivered,Saturday,17,30,682
2319,2435,388,2023-06-23,12:00,Delivered,Friday,12,46,1974
2320,1769,322,2023-06-23,20:15,Delivered,Friday,20,44,1094
2321,1544,329,2023-01-01,17:00,Cancelled,Sunday,17,43,387
2322,1591,341,2023-02-25,13:30,Delivered,Saturday,13,31,875
2323,1136,306,2023-05-13,15:00,Cancelled,Saturday,15,33,1499
2324,1008,389,2023-08-15,15:15,Cancelled,Tuesday,15,35,1222
2325,2459,353,2023-03-24,11:45,Delivered,Friday,11,52,1628
2326,2494,313,2023-03-01,12:00,Cancelled,Wednesday,12,53,1294
2327,1377,388,2023-09-15,20:00,Delivered,Friday,20,52,294
2328,2470,338,2023-08-15,13:15,Cancelled,Tuesday,13,56,1224
2329,2377,394,2023-09-19,20:00,Delivered,Tuesday,20,45,1158
2330,1422,322,2023-02-19,14:15,Delivered,Sunday,14,59,1539
2331,2462,344,2023-07-31,16:45,Cancelled,Monday,16,35,718
2332,1380,400,2023-07-06,21:15,Cancelled,Thursday,21,38,462
2333,1287,383,2023-01-03,14:00,Delivered,Tuesday,14,32,249
2334,1347,343,2023-08-23,22:30,Delivered,Wednesday,22,33,805
2335,1997,370,2023-03-17,15:15,Delivered,Friday,15,39,1530
2336,1138,301,2023-03-31,21:45,Cancelled,Friday,21,27,1327
2337,1944,368,2023-12-01,16:30,Delivered,Friday,16,60,1051
2338,2477,331,2023-06-08,16:15,Cancelled,Thursday,16,56,263
2339,1227,325,2023-06-08,20:00,Delivered,Thursday,20,40,970
2340,2489,375,2023-06-22,20:00,Cancelled,Thursday,20,41,322
2341,1740,354,2023-07-06,14:30,Cancelled,Thursday,14,45,832
2342,1487,400,2023-11-29,21:30,Cancelled,Wednesday,21,47,649
2343,1948,395,2023-01-21,21:45,Cancelled,Saturday,21,44,545
2344,2332,339,2023-02-14,11:00,Delivered,Tuesday,11,67,1560
2345,2185,321,2023-12-23,22:00,Delivered,Saturday,22,56,891
2346,1377,302,2023-01-31,16:00,Delivered,Tuesday,16,62,1596
2347,1812,361,2023-07-15,20:45,Cancelled,Saturday,20,56,859
2348,1823,380,2023-09-01,19:45,Delivered,Friday,19,28,693
2349,1124,366,2023-04-10,20:30,Delivered,Monday,20,24,1306
2350,1694,334,2023-12-11,17:30,Delivered,Monday,17,45,1239
2351,2060,326,2023-04-05,12:00,Cancelled,Wednesday,12,65,256
2352,1279,389,2023-02-08,19:45,Delivered,Wednesday,19,28,679
2353,1035,384,2023-10-12,19:00,Delivered,Thursday,19,54,1602
2354,2335,329,2023-05-06,16:15,Cancelled,Saturday,16,45,1486
2355,1691,380,2023-03-18,14:30,Delivered,Saturday,14,66,743
2356,2446,383,2023-07-25,11:15,Delivered,Tuesday,11,32,1613
2357,1783,315,2023-05-27,21:00,Delivered,Saturday,21,47,1205
2358,1422,330,2023-05-27,22:00,Cancelled,Saturday,22,23,1048
2359,1320,365,2023-01-03,22:45,Delivered,Tuesday,22,58,337
2360,2458,305,2023-01-03,15:00,Delivered,Tuesday,15,55,1981
2361,1900,359,2023-11-20,13:00,Delivered,2023-11-2023,13,45,1904
2362,2233,310,2023-11-11,17:00,Cancelled,Saturday,17,46,1533
2363,2119,345,2023-11-22,18:00,Cancelled,Wednesday,18,31,558
2364,1611,390,2023-12-18,14:15,Cancelled,Monday,14,23,1225
2365,2081,301,2023-12-18,12:45,Delivered,Monday,12,50,557
2366,1957,333,2023-06-15,16:15,Delivered,Thursday,16,54,1973
2367,1991,322,2023-02-10,20:30,Delivered,Friday,20,45,1368
2368,2054,363,2023-07-12,16:00,Delivered,Wednesday,16,37,1492
2369,1142,386,2023-03-30,18:30,Delivered,Thursday,18,28,435
2370,2040,367,2023-08-17,22:30,Delivered,Thursday,22,54,1243
2371,1959,380,2023-08-06,20:30,Delivered,Sunday,20,48,1527
2372,1574,388,2023-02-21,15:00,Cancelled,Tuesday,15,56,1941
2373,1271,379,2023-06-15,16:45,Cancelled,Thursday,16,53,949
2374,1828,377,2023-02-28,12:15,Cancelled,Tuesday,12,35,859
2375,2332,381,2023-05-05,20:30,Delivered,Friday,20,36,1922
2376,1002,386,2023-04-16,20:00,Delivered,Sunday,20,33,1136
2377,2239,311,2023-11-09,11:30,Cancelled,Thursday,11,67,478
2378,2409,333,2023-05-29,19:45,Delivered,Monday,19,38,1010
2379,1961,348,2023-06-15,18:45,Cancelled,Thursday,18,51,1010
2380,1772,346,2023-03-02,18:00,Delivered,Thursday,18,65,1155
2381,2406,318,2023-06-15,20:30,Cancelled,Thursday,20,61,1009
2382,1468,301,2023-11-10,20:15,Delivered,Friday,20,40,1460
2383,1873,322,2023-07-03,17:15,Cancelled,Monday,17,45,845
2384,1417,305,2023-04-03,19:00,Delivered,Monday,19,69,1512
2385,2139,362,2023-10-07,12:00,Delivered,Saturday,12,38,1649
2386,1856,302,2023-02-28,12:45,Delivered,Tuesday,12,41,479
2387,1907,320,2023-01-30,13:00,Delivered,Monday,13,26,1038
