delivery_id,order_id,delivery_partner_id,delivery_distance_km,delivery_time_minutes,delay_flag,delay_time_bucket,delivery_status
6100,2100,751,8,49,Late,40+,Delivered
6101,2101,737,13,58,Late,40+,Delivered
6102,2102,781,3,56,Late,40+,Delivered
6103,2103,751,12,48,Late,40+,Delivered
6104,2104,769,9,62,Late,40+,Delivered
6105,2105,747,19,31,On Time,31-40,Delivered
6106,2106,798,3,33,On Time,31-40,Delivered
6107,2107,702,2,28,On Time,21-30,Delivered
6108,2108,780,1,37,On Time,31-40,Delivered
6109,2109,777,12,50,Late,40+,Delivered
6110,2110,757,12,49,Late,40+,Delivered
6111,2111,771,3,30,On Time,21-30,Delivered
6112,2112,775,1,27,On Time,21-30,Delivered
6113,2113,800,18,63,Late,40+,Delivered
6114,2114,769,3,66,Late,40+,Delivered
6115,2115,752,20,45,Late,40+,Delivered
6116,2116,719,5,21,On Time,21-30,Delivered
6117,2117,788,4,45,Late,40+,Delivered
6118,2118,777,14,33,On Time,31-40,Delivered
6119,2119,789,1,34,On Time,31-40,Delivered
6120,2120,720,1,42,Late,40+,Delivered
6121,2121,772,7,20,On Time,0-20,Delivered
6122,2122,737,12,33,On Time,31-40,Delivered
6123,2123,733,2,42,Late,40+,Delivered
6124,2124,768,6,66,Late,40+,Delivered
6125,2125,785,15,41,Late,40+,Delivered
6126,2126,717,9,45,Late,40+,Delivered
6127,2127,755,11,45,Late,40+,Delivered
6128,2128,762,18,45,Late,40+,Delivered
6129,2129,778,20,44,Late,40+,Delivered
6130,2130,772,1,52,Late,40+,Delivered
6131,2131,767,14,24,On Time,21-30,Delivered
6132,2132,799,2,30,On Time,21-30,Delivered
6133,2133,761,13,34,On Time,31-40,Delivered
6134,2134,707,9,67,Late,40+,Delivered
6135,2135,765,3,26,On Time,21-30,Delivered
6136,2136,784,4,44,Late,40+,Delivered
6137,2137,712,18,62,Late,40+,Delivered
6138,2138,742,7,62,Late,40+,Delivered
6139,2139,716,16,58,Late,40+,Delivered
6140,2140,734,12,40,On Time,31-40,Delivered
6141,2141,730,13,45,Late,40+,Delivered
6142,2142,716,2,44,Late,40+,Delivered
6143,2143,741,16,42,Late,40+,Delivered
6144,2144,732,8,45,Late,40+,Delivered
6145,2145,705,18,27,On Time,21-30,Delivered
6146,2146,742,12,45,Late,40+,Delivered
6147,2147,704,6,39,On Time,31-40,Delivered
6148,2148,716,15,30,On Time,21-30,Delivered
6149,2149,767,7,58,Late,40+,Delivered
6150,2150,796,6,24,On Time,21-30,Delivered
6151,2151,787,2,49,Late,40+,Delivered
6152,2152,722,2,70,Late,40+,Delivered
6153,2153,777,5,48,Late,40+,Delivered
6154,2154,767,20,42,Late,40+,Delivered
6155,2155,743,12,53,Late,40+,Delivered
6156,2156,777,4,58,Late,40+,Delivered
6157,2157,756,15,65,Late,40+,Delivered
6158,2158,723,10,41,Late,40+,Delivered
6159,2159,766,20,43,Late,40+,Delivered
6160,2160,750,19,60,Late,40+,Delivered
6161,2161,741,7,70,Late,40+,Delivered
6162,2162,709,14,45,Late,40+,Delivered
6163,2163,728,9,49,Late,40+,Delivered
6164,2164,726,9,47,Late,40+,Delivered
6165,2165,743,20,62,Late,40+,Delivered
6166,2166,744,7,44,Late,40+,Delivered
6167,2167,748,15,51,Late,40+,Delivered
6168,2168,733,2,42,Late,40+,Delivered
6169,2169,769,8,45,Late,40+,Delivered
6170,2170,780,10,45,Late,40+,Delivered
6171,2171,724,20,45,Late,40+,Delivered
6172,2172,739,16,55,Late,40+,Delivered
6173,2173,728,6,57,Late,40+,Delivered
6174,2174,754,17,40,On Time,31-40,Delivered
6175,2175,722,13,23,On Time,21-30,Delivered
6176,2176,796,2,44,Late,40+,Delivered
6177,2177,751,13,45,Late,40+,Delivered
6178,2178,751,2,37,On Time,31-40,Delivered
6179,2179,773,20,60,Late,40+,Delivered
6180,2180,724,16,69,Late,40+,Delivered
6181,2181,738,17,23,On Time,21-30,Delivered
6182,2182,727,16,21,On Time,21-30,Delivered
6183,2183,760,5,45,Late,40+,Delivered
6184,2184,739,4,64,Late,40+,Delivered
6185,2185,747,20,59,Late,40+,Delivered
6186,2186,736,13,31,On Time,31-40,Delivered
6187,2187,733,4,63,Late,40+,Delivered
6188,2188,776,1,50,Late,40+,Delivered
6189,2189,775,10,61,Late,40+,Delivered
6190,2190,731,20,24,On Time,21-30,Delivered
6191,2191,732,7,45,Late,40+,Delivered
6192,2192,781,5,45,Late,40+,Delivered
6193,2193,712,20,53,Late,40+,Delivered
6194,2194,728,17,26,On Time,21-30,Delivered
6195,2195,747,18,54,Late,40+,Delivered
6196,2196,766,19,45,Late,40+,Delivered
6197,2197,758,10,20,On Time,0-20,Delivered
6198,2198,711,4,45,Late,40+,Delivered
6199,2199,787,19,30,On Time,21-30,Delivered
6200,2200,770,4,25,On Time,21-30,Delivered
6201,2201,734,7,47,Late,40+,Delivered
6202,2202,765,18,58,Late,40+,Delivered
6203,2203,767,3,45,Late,40+,Delivered
6204,2204,725,14,51,Late,40+,Delivered
6205,2205,771,7,67,Late,40+,Delivered
6206,2206,727,4,24,On Time,21-30,Delivered
6207,2207,730,16,48,Late,40+,Delivered
6208,2208,760,5,48,Late,40+,Delivered
6209,2209,729,12,55,Late,40+,Delivered
6210,2210,771,13,51,Late,40+,Delivered
6211,2211,704,15,66,Late,40+,Delivered
6212,2212,764,12,69,Late,40+,Delivered
6213,2213,753,13,70,Late,40+,Delivered
6214,2214,741,4,22,On Time,21-30,Delivered
6215,2215,709,9,50,Late,40+,Delivered
6216,2216,710,4,60,Late,40+,Delivered
6217,2217,790,5,52,Late,40+,Delivered
6218,2218,725,2,36,On Time,31-40,Delivered
6219,2219,705,17,58,Late,40+,Delivered
6220,2220,727,10,57,Late,40+,Delivered
6221,2221,800,15,51,Late,40+,Delivered
6222,2222,754,15,50,Late,40+,Delivered
6223,2223,733,18,48,Late,40+,Delivered
6224,2224,706,14,31,On Time,31-40,Delivered
6225,2225,742,2,23,On Time,21-30,Delivered
6226,2226,777,17,29,On Time,21-30,Delivered
6227,2227,703,13,29,On Time,21-30,Delivered
6228,2228,735,10,66,Late,40+,Delivered
6229,2229,775,15,49,Late,40+,Delivered
6230,2230,719,1,65,Late,40+,Delivered
6231,2231,711,18,46,Late,40+,Delivered
6232,2232,726,18,29,On Time,21-30,Delivered
6233,2233,778,8,55,Late,40+,Delivered
6234,2234,717,16,45,Late,40+,Delivered
6235,2235,714,10,23,On Time,21-30,Delivered
6236,2236,738,8,39,On Time,31-40,Delivered
6237,2237,709,13,29,On Time,21-30,Delivered
6238,2238,724,16,61,Late,40+,Delivered
6239,2239,747,16,36,On Time,31-40,Delivered
6240,2240,704,12,66,Late,40+,Delivered
6241,2241,724,9,55,Late,40+,Delivered
6242,2242,790,8,45,Late,40+,Delivered
6243,2243,746,11,52,Late,40+,Delivered
6244,2244,772,19,55,Late,40+,Delivered
6245,2245,702,2,64,Late,40+,Delivered
6246,2246,733,9,45,Late,40+,Delivered
6247,2247,792,13,50,Late,40+,Delivered
6248,2248,765,16,68,Late,40+,Delivered
6249,2249,702,13,50,Late,40+,Delivered
6250,2250,765,17,70,Late,40+,Delivered
6251,2251,770,19,45,Late,40+,Delivered
6252,2252,701,19,33,On Time,31-40,Delivered
6253,2253,756,6,26,On Time,21-30,Delivered
6254,2254,729,17,59,Late,40+,Delivered
6255,2255,703,14,67,Late,40+,Delivered
6256,2256,710,12,58,Late,40+,Delivered
6257,2257,763,4,53,Late,40+,Delivered
6258,2258,798,2,53,Late,40+,Delivered
6259,2259,738,9,45,Late,40+,Delivered
6260,2260,768,5,65,Late,40+,Delivered
6261,2261,786,17,45,Late,40+,Delivered
6262,2262,702,20,21,On Time,21-30,Delivered
6263,2263,717,6,23,On Time,21-30,Delivered
6264,2264,739,3,28,On Time,21-30,Delivered
6265,2265,732,1,20,On Time,0-20,Delivered
6266,2266,728,4,62,Late,40+,Delivered
6267,2267,782,15,49,Late,40+,Delivered
6268,2268,721,4,38,On Time,31-40,Delivered
6269,2269,713,12,45,Late,40+,Delivered
6270,2270,785,13,34,On Time,31-40,Delivered
6271,2271,789,8,65,Late,40+,Delivered
6272,2272,776,6,66,Late,40+,Delivered
6273,2273,703,5,34,On Time,31-40,Delivered
6274,2274,717,4,54,Late,40+,Delivered
6275,2275,790,14,32,On Time,31-40,Delivered
6276,2276,773,17,58,Late,40+,Delivered
6277,2277,725,14,20,On Time,0-20,Delivered
6278,2278,759,6,63,Late,40+,Delivered
6279,2279,770,19,69,Late,40+,Delivered
6280,2280,712,14,62,Late,40+,Delivered
6281,2281,720,8,69,Late,40+,Delivered
6282,2282,783,12,27,On Time,21-30,Delivered
6283,2283,788,7,45,Late,40+,Delivered
6284,2284,710,5,53,Late,40+,Delivered
6285,2285,711,20,45,Late,40+,Delivered
6286,2286,738,19,63,Late,40+,Delivered
6287,2287,747,4,23,On Time,21-30,Delivered
6288,2288,785,1,20,On Time,0-20,Delivered
6289,2289,765,2,43,Late,40+,Delivered
6290,2290,756,18,42,Late,40+,Delivered
6291,2291,798,7,59,Late,40+,Delivered
6292,2292,716,7,45,Late,40+,Delivered
6293,2293,773,3,28,On Time,21-30,Delivered
6294,2294,708,10,29,On Time,21-30,Delivered
6295,2295,753,17,50,Late,40+,Delivered
6296,2296,731,6,57,Late,40+,Delivered
6297,2297,702,18,44,Late,40+,Delivered
6298,2298,765,18,45,Late,40+,Delivered
6299,2299,784,1,45,Late,40+,Delivered
6300,2300,731,17,24,On Time,21-30,Delivered
6301,2301,709,4,26,On Time,21-30,Delivered
6302,2302,719,9,34,On Time,31-40,Delivered
6303,2303,775,20,49,Late,40+,Delivered
6304,2304,734,17,43,Late,40+,Delivered
6305,2305,751,12,32,On Time,31-40,Delivered
6306,2306,772,13,66,Late,40+,Delivered
6307,2307,747,16,67,Late,40+,Delivered
6308,2308,715,20,61,Late,40+,Delivered
6309,2309,747,17,67,Late,40+,Delivered
6310,2310,750,16,45,Late,40+,Delivered
6311,2311,788,2,56,Late,40+,Delivered
6312,2312,703,17,24,On Time,21-30,Delivered
6313,2313,702,6,47,Late,40+,Delivered
6314,2314,726,20,45,Late,40+,Delivered
6315,2315,787,17,46,Late,40+,Delivered
6316,2316,702,15,37,On Time,31-40,Delivered
6317,2317,773,10,67,Late,40+,Delivered
6318,2318,775,6,54,Late,40+,Delivered
6319,2319,747,18,54,Late,40+,Delivered
6320,2320,771,8,70,Late,40+,Delivered
6321,2321,749,17,45,Late,40+,Delivered
6322,2322,735,12,45,Late,40+,Delivered
6323,2323,704,19,20,On Time,0-20,Delivered
6324,2324,737,11,64,Late,40+,Delivered
6325,2325,744,13,35,On Time,31-40,Delivered
6326,2326,763,12,30,On Time,21-30,Delivered
6327,2327,793,8,62,Late,40+,Delivered
6328,2328,772,1,64,Late,40+,Delivered
6329,2329,727,13,45,Late,40+,Delivered
6330,2330,759,18,65,Late,40+,Delivered
6331,2331,726,2,63,Late,40+,Delivered
6332,2332,708,19,64,Late,40+,Delivered
6333,2333,745,5,24,On Time,21-30,Delivered
6334,2334,796,17,60,Late,40+,Delivered
6335,2335,788,14,30,On Time,21-30,Delivered
6336,2336,702,16,36,On Time,31-40,Delivered
6337,2337,782,20,43,Late,40+,Delivered
6338,2338,791,11,67,Late,40+,Delivered
6339,2339,761,8,45,Late,40+,Delivered
6340,2340,755,20,66,Late,40+,Delivered
6341,2341,706,18,39,On Time,31-40,Delivered
6342,2342,759,18,22,On Time,21-30,Delivered
6343,2343,767,14,46,Late,40+,Delivered
6344,2344,768,10,48,Late,40+,Delivered
6345,2345,720,15,69,Late,40+,Delivered
6346,2346,776,19,54,Late,40+,Delivered
6347,2347,785,7,20,On Time,0-20,Delivered
6348,2348,755,9,55,Late,40+,Delivered
6349,2349,773,15,51,Late,40+,Delivered
6350,2350,751,13,43,Late,40+,Delivered
6351,2351,732,15,62,Late,40+,Delivered
6352,2352,791,13,44,Late,40+,Delivered
6353,2353,703,14,30,On Time,21-30,Delivered
6354,2354,761,10,50,Late,40+,Delivered
6355,2355,783,7,20,On Time,0-20,Delivered
6356,2356,726,2,42,Late,40+,Delivered
6357,2357,766,13,51,Late,40+,Delivered
6358,2358,704,19,64,Late,40+,Delivered
6359,2359,721,4,67,Late,40+,Delivered
6360,2360,788,4,65,Late,40+,Delivered
6361,2361,744,1,32,On Time,31-40,Delivered
6362,2362,727,7,62,Late,40+,Delivered
6363,2363,748,12,35,On Time,31-40,Delivered
6364,2364,792,12,39,On Time,31-40,Delivered
6365,2365,747,15,22,On Time,21-30,Delivered
6366,2366,772,16,46,Late,40+,Delivered
6367,2367,738,19,38,On Time,31-40,Delivered
6368,2368,718,19,29,On Time,21-30,Delivered
6369,2369,719,11,48,Late,40+,Delivered
6370,2370,701,8,61,Late,40+,Delivered
6371,2371,769,20,38,On Time,31-40,Delivered
6372,2372,708,4,70,Late,40+,Delivered
6373,2373,757,2,39,On Time,31-40,Delivered
6374,2374,708,8,21,On Time,21-30,Delivered
6375,2375,786,14,46,Late,40+,Delivered
6376,2376,750,6,51,Late,40+,Delivered
6377,2377,792,12,22,On Time,21-30,Delivered
6378,2378,713,1,58,Late,40+,Delivered
6379,2379,759,4,21,On Time,21-30,Delivered
6380,2380,789,10,68,Late,40+,Delivered
6381,2381,752,2,70,Late,40+,Delivered
6382,2382,747,16,36,On Time,31-40,Delivered
6383,2383,780,16,67,Late,40+,Delivered
6384,2384,796,18,63,Late,40+,Delivered
6385,2385,715,1,50,Late,40+,Delivered
6386,2386,775,19,37,On Time,31-40,Delivered
6387,2387,718,11,38,On Time,31-40,Delivered
6388,2388,711,19,49,Late,40+,Delivered
6389,2389,743,6,50,Late,40+,Delivered
6390,2390,705,18,32,On Time,31-40,Delivered
6391,2391,720,8,45,Late,40+,Delivered
6392,2392,701,20,52,Late,40+,Delivered
6393,2393,765,9,21,On Time,21-30,Delivered
6394,2394,721,14,22,On Time,21-30,Delivered
6395,2395,793,7,43,Late,40+,Delivered
6396,2396,774,5,45,Late,40+,Delivered
6397,2397,770,7,46,Late,40+,Delivered
6398,2398,764,5,56,Late,40+,Delivered
6399,2399,744,5,30,On Time,21-30,Delivered
6400,2400,750,16,35,On Time,31-40,Delivered
6401,2401,751,2,25,On Time,21-30,Delivered
6402,2402,753,6,31,On Time,31-40,Delivered
6403,2403,741,6,32,On Time,31-40,Delivered
6404,2404,759,8,39,On Time,31-40,Delivered
6405,2405,793,12,50,Late,40+,Delivered
6406,2406,800,13,28,On Time,21-30,Delivered
6407,2407,728,20,26,On Time,21-30,Delivered
6408,2408,735,3,54,Late,40+,Delivered
6409,2409,748,10,42,Late,40+,Delivered
6410,2410,750,10,56,Late,40+,Delivered
6411,2411,728,12,51,Late,40+,Delivered
6412,2412,731,16,29,On Time,21-30,Delivered
6413,2413,731,4,69,Late,40+,Delivered
6414,2414,781,16,45,Late,40+,Delivered
6415,2415,761,17,45,Late,40+,Delivered
6416,2416,715,17,45,Late,40+,Delivered
6417,2417,728,20,26,On Time,21-30,Delivered
6418,2418,724,18,23,On Time,21-30,Delivered
6419,2419,766,9,67,Late,40+,Delivered
6420,2420,730,8,42,Late,40+,Delivered
6421,2421,763,3,45,Late,40+,Delivered
6422,2422,703,2,34,On Time,31-40,Delivered
6423,2423,710,7,45,Late,40+,Delivered
6424,2424,710,15,65,Late,40+,Delivered
6425,2425,766,2,70,Late,40+,Delivered
6426,2426,702,7,22,On Time,21-30,Delivered
6427,2427,753,4,21,On Time,21-30,Delivered
6428,2428,746,6,43,Late,40+,Delivered
6429,2429,789,19,23,On Time,21-30,Delivered
6430,2430,756,7,39,On Time,31-40,Delivered
6431,2431,759,5,25,On Time,21-30,Delivered
6432,2432,731,15,20,On Time,0-20,Delivered
6433,2433,707,6,39,On Time,31-40,Delivered
6434,2434,740,15,59,Late,40+,Delivered
6435,2435,776,14,58,Late,40+,Delivered
6436,2436,717,20,43,Late,40+,Delivered
6437,2437,769,19,20,On Time,0-20,Delivered
6438,2438,775,10,36,On Time,31-40,Delivered
6439,2439,750,19,48,Late,40+,Delivered
6440,2440,724,19,37,On Time,31-40,Delivered
6441,2441,778,13,24,On Time,21-30,Delivered
6442,2442,784,10,34,On Time,31-40,Delivered
6443,2443,754,3,56,Late,40+,Delivered
6444,2444,783,8,45,Late,40+,Delivered
6445,2445,726,8,63,Late,40+,Delivered
6446,2446,792,3,48,Late,40+,Delivered
6447,2447,754,11,38,On Time,31-40,Delivered
6448,2448,725,4,45,Late,40+,Delivered
6449,2449,744,4,26,On Time,21-30,Delivered
6450,2450,752,16,55,Late,40+,Delivered
6451,2451,735,18,53,Late,40+,Delivered
6452,2452,752,17,29,On Time,21-30,Delivered
6453,2453,727,8,36,On Time,31-40,Delivered
6454,2454,799,2,21,On Time,21-30,Delivered
6455,2455,735,16,45,Late,40+,Delivered
6456,2456,705,17,45,Late,40+,Delivered
6457,2457,759,1,61,Late,40+,Delivered
6458,2458,709,11,43,Late,40+,Delivered
6459,2459,778,10,36,On Time,31-40,Delivered
6460,2460,726,4,49,Late,40+,Delivered
6461,2461,722,7,60,Late,40+,Delivered
6462,2462,792,20,65,Late,40+,Delivered
6463,2463,737,19,28,On Time,21-30,Delivered
6464,2464,751,7,45,Late,40+,Delivered
6465,2465,729,20,53,Late,40+,Delivered
6466,2466,705,5,23,On Time,21-30,Delivered
6467,2467,733,13,67,Late,40+,Delivered
6468,2468,766,4,46,Late,40+,Delivered
6469,2469,771,13,30,On Time,21-30,Delivered
6470,2470,787,14,49,Late,40+,Delivered
6471,2471,753,9,34,On Time,31-40,Delivered
6472,2472,777,12,45,Late,40+,Delivered
6473,2473,759,7,47,Late,40+,Delivered
6474,2474,727,7,59,Late,40+,Delivered
6475,2475,721,20,56,Late,40+,Delivered
6476,2476,787,13,21,On Time,21-30,Delivered
6477,2477,734,2,59,Late,40+,Delivered
6478,2478,797,2,26,On Time,21-30,Delivered
6479,2479,775,14,26,On Time,21-30,Delivered
6480,2480,743,19,32,On Time,31-40,Delivered
6481,2481,767,11,41,Late,40+,Delivered
6482,2482,709,12,33,On Time,31-40,Delivered
6483,2483,777,14,60,Late,40+,Delivered
6484,2484,707,1,42,Late,40+,Delivered
6485,2485,795,10,51,Late,40+,Delivered
6486,2486,739,17,27,On Time,21-30,Delivered
6487,2487,705,13,58,Late,40+,Delivered
6488,2488,733,10,52,Late,40+,Delivered
6489,2489,704,8,29,On Time,21-30,Delivered
6490,2490,731,20,45,Late,40+,Delivered
6491,2491,796,19,56,Late,40+,Delivered
6492,2492,705,19,44,Late,40+,Delivered
6493,2493,739,18,46,Late,40+,Delivered
6494,2494,771,11,44,Late,40+,Delivered
6495,2495,715,17,24,On Time,21-30,Delivered
6496,2496,710,8,48,Late,40+,Delivered
6497,2497,759,17,46,Late,40+,Delivered
6498,2498,716,18,40,On Time,31-40,Delivered
6499,2499,729,20,24,On Time,21-30,Delivered
6500,2500,787,6,34,On Time,31-40,Delivered
6501,2501,746,2,24,On Time,21-30,Delivered
6502,2502,758,2,37,On Time,31-40,Delivered
6503,2503,701,17,53,Late,40+,Delivered
6504,2504,701,18,29,On Time,21-30,Delivered
6505,2505,727,9,54,Late,40+,Delivered
6506,2506,704,18,32,On Time,31-40,Delivered
6507,2507,761,1,21,On Time,21-30,Delivered
6508,2508,800,2,45,Late,40+,Delivered
6509,2509,714,19,27,On Time,21-30,Delivered
6510,2510,718,16,54,Late,40+,Delivered
6511,2511,749,10,48,Late,40+,Delivered
6512,2512,706,6,45,Late,40+,Delivered
6513,2513,719,15,63,Late,40+,Delivered
6514,2514,761,9,45,Late,40+,Delivered
6515,2515,780,19,45,Late,40+,Delivered
6516,2516,787,3,50,Late,40+,Delivered
6517,2517,742,20,39,On Time,31-40,Delivered
6518,2518,702,1,45,Late,40+,Delivered
6519,2519,758,13,57,Late,40+,Delivered
6520,2520,724,11,57,Late,40+,Delivered
6521,2521,789,7,67,Late,40+,Delivered
6522,2522,725,16,34,On Time,31-40,Delivered
6523,2523,750,13,28,On Time,21-30,Delivered
6524,2524,728,19,55,Late,40+,Delivered
6525,2525,779,20,27,On Time,21-30,Delivered
6526,2526,715,14,22,On Time,21-30,Delivered
6527,2527,754,20,52,Late,40+,Delivered
6528,2528,702,16,69,Late,40+,Delivered
6529,2529,788,19,39,On Time,31-40,Delivered
6530,2530,773,16,43,Late,40+,Delivered
6531,2531,780,19,43,Late,40+,Delivered
6532,2532,782,20,64,Late,40+,Delivered
6533,2533,734,5,20,On Time,0-20,Delivered
6534,2534,716,15,30,On Time,21-30,Delivered
6535,2535,751,10,45,Late,40+,Delivered
6536,2536,762,12,30,On Time,21-30,Delivered
6537,2537,710,8,23,On Time,21-30,Delivered
6538,2538,774,1,54,Late,40+,Delivered
6539,2539,754,18,66,Late,40+,Delivered
6540,2540,796,5,45,Late,40+,Delivered
6541,2541,748,8,46,Late,40+,Delivered
6542,2542,780,18,53,Late,40+,Delivered
6543,2543,774,17,67,Late,40+,Delivered
6544,2544,724,7,20,On Time,0-20,Delivered
6545,2545,758,9,40,On Time,31-40,Delivered
6546,2546,728,8,37,On Time,31-40,Delivered
6547,2547,732,9,67,Late,40+,Delivered
6548,2548,724,17,33,On Time,31-40,Delivered
6549,2549,759,1,49,Late,40+,Delivered
6550,2550,773,6,23,On Time,21-30,Delivered
6551,2551,767,17,61,Late,40+,Delivered
6552,2552,773,2,46,Late,40+,Delivered
6553,2553,780,10,45,Late,40+,Delivered
6554,2554,720,7,46,Late,40+,Delivered
6555,2555,792,19,45,Late,40+,Delivered
6556,2556,701,13,59,Late,40+,Delivered
6557,2557,748,19,45,Late,40+,Delivered
6558,2558,733,16,45,Late,40+,Delivered
6559,2559,713,20,47,Late,40+,Delivered
6560,2560,729,9,26,On Time,21-30,Delivered
6561,2561,722,13,51,Late,40+,Delivered
6562,2562,788,3,70,Late,40+,Delivered
6563,2563,717,4,45,Late,40+,Delivered
6564,2564,729,3,54,Late,40+,Delivered
6565,2565,749,18,65,Late,40+,Delivered
6566,2566,731,7,45,Late,40+,Delivered
6567,2567,784,17,40,On Time,31-40,Delivered
6568,2568,742,12,45,Late,40+,Delivered
6569,2569,747,3,50,Late,40+,Delivered
6570,2570,725,13,54,Late,40+,Delivered
6571,2571,728,12,66,Late,40+,Delivered
6572,2572,779,5,40,On Time,31-40,Delivered
6573,2573,763,9,29,On Time,21-30,Delivered
6574,2574,760,11,57,Late,40+,Delivered
6575,2575,798,6,45,Late,40+,Delivered
6576,2576,736,3,21,On Time,21-30,Delivered
6577,2577,711,16,65,Late,40+,Delivered
6578,2578,702,7,49,Late,40+,Delivered
6579,2579,758,6,44,Late,40+,Delivered
6580,2580,769,18,29,On Time,21-30,Delivered
6581,2581,722,1,50,Late,40+,Delivered
6582,2582,791,20,22,On Time,21-30,Delivered
6583,2583,782,13,45,Late,40+,Delivered
6584,2584,709,13,45,Late,40+,Delivered
6585,2585,798,11,39,On Time,31-40,Delivered
