review_id,order_id,customer_id,rating,review_text,low_rating_flag,review_date
8042,2097,1985,4,Loved It,Good,2023-11-28
8043,2150,2432,3,Great Food,Good,2023-01-14
8044,2823,1896,1,Excellent,Low,2023-01-07
8045,3403,1191,1,Excellent,Low,2023-05-20
8046,2018,2296,2,Average,Low,2023-01-16
8047,3271,1731,4,Excellent,Good,2023-09-13
8048,2369,2175,4,Not Good,Good,2023-12-23
8049,2684,1048,1,Great Food,Low,2023-01-03
8050,3217,2410,4,Great Food,Good,2023-04-12
8051,3029,1716,1,Great Food,Low,2023-06-09
8052,2934,1270,5,Bad Experience,Good,2023-08-19
8053,2948,2013,4,Excellent,Good,2023-11-24
8054,3358,1274,4,Bad Experience,Good,2023-01-08
8055,3369,1284,2,Not Good,Low,2023-04-02
8056,2901,1414,4,Average,Good,2023-03-25
8057,2691,1639,1,Average,Low,2023-03-13
8058,3478,2062,5,Excellent,Good,2023-07-15
8059,3394,1447,5,Bad Experience,Good,2023-09-22
8060,2276,1073,3,Not Good,Good,2023-04-25
8061,2009,1884,4,Bad Experience,Good,2023-05-21
8062,2343,1694,3,Great Food,Good,2023-12-25
8063,2088,1018,1,Loved It,Low,2023-03-16
8064,2863,1886,2,Bad Experience,Low,2023-11-04
8065,3239,1901,1,Not Good,Low,2023-04-22
8066,3498,1187,3,Not Good,Good,2023-12-19
8067,2458,1298,5,Loved It,Good,2023-11-16
8068,2835,1546,1,Loved It,Low,2023-04-17
8069,3342,2056,5,Loved It,Good,2023-07-13
8070,3226,1800,2,Loved It,Low,2023-11-15
8071,3375,1802,1,Bad Experience,Low,2023-05-08
8072,3261,2455,1,Average,Low,2023-09-18
8073,2207,1888,1,Average,Low,2023-02-03
8074,2179,1131,2,Excellent,Low,2023-03-19
8075,2934,1522,4,Excellent,Good,2023-10-13
8076,2406,2391,3,Not Good,Good,2023-07-21
8077,2093,1419,1,Not Good,Low,2023-10-19
8078,2120,1391,2,Not Good,Low,2023-09-27
8079,3081,1927,4,Loved It,Good,2023-10-04
8080,2420,1726,3,Excellent,Good,2023-12-19
8081,2595,1224,1,Bad Experience,Low,2023-05-15
8082,2582,2336,1,Bad Experience,Low,2023-09-14
8083,3067,1163,3,Average,Good,2023-05-21
8084,2764,2063,2,Great Food,Low,2023-12-24
8085,2187,2421,3,Bad Experience,Good,2023-01-08
8086,3411,1342,1,Great Food,Low,2023-02-01
8087,2555,1388,3,Not Good,Good,2023-09-26
8088,3185,2189,1,Not Good,Low,2023-03-30
8089,2872,1341,1,Not Good,Low,2023-02-23
8090,2520,1045,4,Average,Good,2023-07-12
8091,2817,2361,3,Bad Experience,Good,2023-10-20
8092,2794,1831,2,Bad Experience,Low,2023-01-12
8093,2613,1094,4,Loved It,Good,2023-07-09
8094,2015,1133,3,Great Food,Good,2023-02-08
8095,3078,2370,4,Great Food,Good,2023-06-19
8096,3182,1526,3,Loved It,Good,2023-02-01
8097,3287,1616,5,Average,Good,2023-07-24
8098,3086,2114,2,Average,Low,2023-12-04
8099,3364,1308,1,Great Food,Low,2023-04-22
8100,3424,2428,3,Loved It,Good,2023-05-28
8101,2864,1885,5,Average,Good,2023-06-10
8102,2295,1866,4,Average,Good,2023-12-25
8103,3262,1964,3,Bad Experience,Good,2023-10-18
8104,3235,1637,5,Not Good,Good,2023-09-29
8105,3044,1879,3,Great Food,Good,2023-10-18
8106,2908,1108,1,Not Good,Low,2023-11-10
8107,2317,1955,1,Bad Experience,Low,2023-12-25
8108,3233,2192,4,Bad Experience,Good,2023-05-14
8109,3376,1960,5,Great Food,Good,2023-08-07
8110,2418,2308,1,Bad Experience,Low,2023-10-27
8111,2715,1278,5,Not Good,Good,2023-06-09
8112,2802,2411,5,Average,Good,2023-04-15
8113,2444,2270,3,Not Good,Good,2023-04-20
8114,3434,2105,1,Not Good,Low,2023-02-02
8115,2592,1988,2,Loved It,Low,2023-12-25
8116,2824,2267,1,Excellent,Low,2023-05-15
8117,2420,2062,5,Average,Good,2023-08-31
8118,3139,1083,5,Not Good,Good,2023-01-04
8119,3444,1683,4,Great Food,Good,2023-02-13
8120,2964,1548,3,Not Good,Good,2023-12-03
8121,2436,2234,4,Average,Good,2023-09-05
8122,3170,1816,4,Great Food,Good,2023-08-08
8123,2961,1609,5,Excellent,Good,2023-10-02
8124,3073,1191,4,Average,Good,2023-11-28
8125,2759,1660,2,Bad Experience,Low,2023-01-28
8126,2747,1694,1,Loved It,Low,2023-09-13
8127,2981,1986,2,Loved It,Low,2023-03-18
8128,3225,1710,4,Bad Experience,Good,2023-02-28
8129,2375,2154,1,Excellent,Low,2023-01-03
8130,3393,1299,4,Great Food,Good,2023-01-22
8131,3173,1156,5,Not Good,Good,2023-01-24
8132,2273,1896,3,Not Good,Good,2023-10-18
8133,3339,1966,5,Average,Good,2023-01-24
8134,3083,1007,1,Loved It,Low,2023-05-28
8135,2731,1847,4,Great Food,Good,2023-02-15
8136,3170,1249,3,Average,Good,2023-07-07
8137,2194,2314,5,Great Food,Good,2023-02-05
8138,3300,2414,2,Great Food,Low,2023-09-19
8139,3074,2369,2,Bad Experience,Low,2023-12-25
8140,2348,2464,2,Bad Experience,Low,2023-09-05
8141,3026,1952,1,Loved It,Low,2023-09-12
8142,2867,1447,1,Excellent,Low,2023-12-25
8143,3499,1537,3,Excellent,Good,2023-09-06
8144,3126,1830,3,Average,Good,2023-06-03
8145,3474,2202,4,Loved It,Good,2023-04-19
8146,2509,1147,1,Average,Low,2023-05-07
8147,3358,1616,3,Not Good,Good,2023-01-07
8148,2376,1356,5,Average,Good,2023-11-27
8149,2033,1886,4,Bad Experience,Good,2023-01-07
8150,3223,1301,2,Average,Low,2023-02-24
8151,2439,1379,5,Bad Experience,Good,2023-12-24
8152,3174,1932,5,Bad Experience,Good,2023-02-03
8153,2584,1370,2,Great Food,Low,2023-04-12
8154,2584,1904,2,Average,Low,2023-01-28
8155,3398,1079,2,Great Food,Low,2023-06-13
8156,2012,1355,1,Bad Experience,Low,2023-01-07
8157,2267,1530,5,Average,Good,2023-12-25
8158,2639,1136,5,Bad Experience,Good,2023-11-05
8159,2250,1881,4,Excellent,Good,2023-08-14
8160,2533,1913,2,Bad Experience,Low,2023-06-08
8161,3135,1245,5,Excellent,Good,2023-10-30
8162,3078,2382,2,Average,Low,2023-02-06
8163,3177,2316,3,Not Good,Good,2023-05-14
8164,2126,2469,2,Bad Experience,Low,2023-10-02
8165,2279,2305,1,Loved It,Low,2023-12-01
8166,2013,1855,2,Loved It,Low,2023-01-23
8167,2104,2316,5,Bad Experience,Good,2023-02-04
8168,2741,2106,4,Bad Experience,Good,2023-07-12
8169,3208,1384,4,Excellent,Good,2023-05-17
8170,2142,2269,3,Bad Experience,Good,2023-01-07
8171,3110,2301,2,Great Food,Low,2023-11-13
8172,2442,2388,1,Bad Experience,Low,2023-12-25
8173,3070,1845,3,Bad Experience,Good,2023-11-15
8174,2980,1873,2,Loved It,Low,2023-05-06
8175,2625,1878,1,Excellent,Low,2023-01-10
8176,3124,1712,4,Not Good,Good,2023-04-18
8177,2174,2275,5,Great Food,Good,2023-09-08
8178,2521,1938,5,Loved It,Good,2023-02-17
8179,2486,2413,5,Not Good,Good,2023-02-09
8180,2919,2485,2,Average,Low,2023-07-05
8181,3248,1897,3,Average,Good,2023-08-25
8182,2861,1857,4,Great Food,Good,2023-08-14
8183,2860,1737,2,Great Food,Low,2023-10-28
8184,2399,2155,2,Average,Low,2023-12-14
8185,2419,1750,3,Not Good,Good,2023-04-04
8186,3151,2003,1,Not Good,Low,2023-05-29
8187,2675,1904,1,Loved It,Low,2023-12-25
8188,3026,1876,1,Excellent,Low,2023-07-28
8189,3244,1979,1,Excellent,Low,2023-12-25
8190,2926,1007,4,Great Food,Good,2023-03-09
8191,2125,1899,1,Bad Experience,Low,2023-05-26
8192,2840,1604,4,Bad Experience,Good,2023-12-25
8193,2118,2076,5,Average,Good,2023-12-25
8194,3338,1459,1,Not Good,Low,2023-08-17
8195,2187,1985,5,Loved It,Good,2023-05-06
8196,2551,1293,5,Average,Good,2023-04-06
8197,2391,1810,3,Excellent,Good,2023-01-31
8198,3359,1542,1,Bad Experience,Low,2023-08-04
8199,2148,1803,4,Loved It,Good,2023-06-13
8200,2567,1083,1,Great Food,Low,2023-01-04
8201,2852,1754,1,Excellent,Low,2023-06-09
8202,3420,1736,2,Bad Experience,Low,2023-08-21
8203,2803,2215,1,Loved It,Low,2023-07-07
8204,2570,1624,4,Average,Good,2023-06-30
8205,3293,1758,1,Loved It,Low,2023-06-18
8206,2882,2309,4,Loved It,Good,2023-03-22
8207,2565,1741,3,Great Food,Good,2023-06-14
8208,2198,1021,5,Loved It,Good,2023-04-19
8209,2997,2392,4,Loved It,Good,2023-12-25
8210,2136,1730,4,Loved It,Good,2023-12-25
8211,2573,1189,1,Bad Experience,Low,2023-04-06
8212,2722,2366,4,Bad Experience,Good,2023-11-02
8213,2015,1085,1,Not Good,Low,2023-10-23
8214,2037,2001,5,Average,Good,2023-11-27
8215,2458,1734,5,Average,Good,2023-12-27
8216,2565,1417,5,Bad Experience,Good,2023-11-03
8217,2042,1595,5,Not Good,Good,2023-03-16
8218,3066,1707,5,Average,Good,2023-12-25
8219,2184,1571,3,Average,Good,2023-04-29
8220,3181,1337,1,Great Food,Low,2023-12-25
8221,2502,1045,4,Excellent,Good,2023-07-06
8222,2825,1754,5,Loved It,Good,2023-09-06
8223,3107,2244,5,Bad Experience,Good,2023-12-25
8224,2147,1174,5,Average,Good,2023-10-30
8225,2055,2492,2,Loved It,Low,2023-05-02
8226,2080,2002,3,Bad Experience,Good,2023-02-05
8227,3107,1584,3,Great Food,Good,2023-12-25
8228,3069,1928,5,Average,Good,2023-04-15
8229,3221,1538,1,Not Good,Low,2023-04-28
8230,2884,1068,3,Loved It,Good,2023-11-01
8231,2342,1678,5,Average,Good,2023-07-08
8232,3461,1734,2,Not Good,Low,2023-05-09
8233,2357,1443,2,Excellent,Low,2023-09-22
8234,3200,1719,4,Excellent,Good,2023-12-25
8235,2915,1757,3,Loved It,Good,2023-12-09
8236,2870,1765,3,Not Good,Good,2023-12-25
8237,2122,2269,4,Excellent,Good,2023-03-23
8238,3389,1551,5,Bad Experience,Good,2023-08-28
8239,3019,1383,1,Not Good,Low,2023-10-10
8240,3462,1169,1,Great Food,Low,2023-05-13
8241,3319,1594,2,Loved It,Low,2023-06-12
8242,2864,1846,5,Loved It,Good,2023-06-22
8243,2898,1953,3,Not Good,Good,2023-05-23
8244,2400,1191,1,Bad Experience,Low,2023-03-13
8245,2180,2479,1,Not Good,Low,2023-02-02
8246,2036,2393,3,Not Good,Good,2023-09-07
8247,2158,1573,3,Great Food,Good,2023-10-03
8248,2531,1517,1,Not Good,Low,2023-12-25
8249,3268,2462,4,Great Food,Good,2023-08-05
8250,3194,1436,1,Loved It,Low,2023-04-23
8251,2370,2237,1,Average,Low,2023-12-25
8252,2640,2313,3,Excellent,Good,2023-12-25
8253,3440,1820,4,Great Food,Good,2023-07-25
8254,2620,1175,3,Great Food,Good,2023-09-01
8255,3349,1292,4,Average,Good,2023-12-11
8256,2493,1790,2,Bad Experience,Low,2023-12-23
8257,3202,1839,2,Excellent,Low,2023-05-28
8258,2626,2237,5,Excellent,Good,2023-05-17
8259,3451,2461,3,Excellent,Good,2023-07-02
8260,3304,2488,2,Average,Low,2023-03-09
8261,3470,2251,3,Average,Good,2023-06-02
8262,2461,1271,2,Average,Low,2023-07-28
8263,2959,2089,4,Not Good,Good,2023-11-23
8264,2676,2361,2,Excellent,Low,2023-07-26
8265,3289,1953,4,Bad Experience,Good,2023-12-20
8266,3034,1222,3,Loved It,Good,2023-01-17
8267,3371,1390,3,Excellent,Good,2023-03-10
8268,3172,1656,2,Not Good,Low,2023-01-02
8269,2841,1387,5,Bad Experience,Good,2023-09-02
8270,2444,2148,3,Great Food,Good,2023-07-07
8271,2299,2028,5,Bad Experience,Good,2023-11-05
8272,2006,2367,2,Average,Low,2023-09-14
8273,2293,1073,2,Great Food,Low,2023-08-01
8274,2196,1956,4,Not Good,Good,2023-08-02
8275,3247,1612,5,Average,Good,2023-04-26
8276,3420,2309,4,Loved It,Good,2023-09-10
8277,2028,1406,3,Not Good,Good,2023-12-25
8278,3027,1091,1,Loved It,Low,2023-12-25
8279,3130,2114,4,Not Good,Good,2023-08-15
8280,3475,2494,5,Bad Experience,Good,2023-12-09
8281,3383,1238,2,Not Good,Low,2023-08-20
8282,2824,1189,5,Loved It,Good,2023-12-25
8283,3335,1814,5,Average,Good,2023-12-25
8284,2578,2216,2,Bad Experience,Low,2023-02-14
8285,2785,1955,5,Not Good,Good,2023-10-07
8286,2010,2019,3,Not Good,Good,2023-06-24
8287,2636,1208,3,Excellent,Good,2023-11-12
8288,2581,2247,1,Not Good,Low,2023-07-19
8289,3009,1170,3,Average,Good,2023-03-01
8290,2848,1669,5,Not Good,Good,2023-10-02
8291,3069,2375,4,Loved It,Good,2023-06-11
8292,2628,1636,3,Bad Experience,Good,2023-11-04
8293,3307,1311,3,Excellent,Good,2023-02-06
8294,3088,1601,3,Great Food,Good,2023-09-09
8295,3115,1145,1,Average,Low,2023-04-04
8296,2690,1442,5,Great Food,Good,2023-06-30
8297,2965,1149,3,Bad Experience,Good,2023-08-15
8298,2423,1774,3,Excellent,Good,2023-06-13
8299,2267,2306,5,Loved It,Good,2023-07-12
8300,3306,1961,2,Bad Experience,Low,2023-03-07
8301,2450,1793,1,Bad Experience,Low,2023-05-19
8302,2438,2097,3,Excellent,Good,2023-02-14
8303,2198,2006,4,Loved It,Good,2023-10-24
8304,3218,1379,4,Great Food,Good,2023-03-19
8305,3315,1252,2,Not Good,Low,2023-07-17
8306,2847,2468,2,Bad Experience,Low,2023-10-15
8307,2538,1124,3,Great Food,Good,2023-01-25
8308,3461,1793,5,Excellent,Good,2023-01-10
8309,2944,2191,2,Excellent,Low,2023-03-24
8310,2877,1727,2,Bad Experience,Low,2023-10-31
8311,3177,2494,3,Excellent,Good,2023-01-27
8312,2294,1105,5,Loved It,Good,2023-10-27
8313,3453,1456,4,Loved It,Good,2023-08-31
8314,2301,1825,3,Excellent,Good,2023-04-14
8315,2637,1729,3,Great Food,Good,2023-08-30
8316,3141,1262,2,Excellent,Low,2023-04-13
8317,3310,1258,1,Bad Experience,Low,2023-12-25
8318,2628,1829,5,Not Good,Good,2023-10-13
8319,2607,1093,5,Loved It,Good,2023-02-22
8320,2312,1244,2,Not Good,Low,2023-07-15
8321,3334,1129,4,Loved It,Good,2023-06-08
8322,3192,1216,3,Bad Experience,Good,2023-09-28
8323,3242,1283,3,Bad Experience,Good,2023-11-28
8324,2947,1491,2,Not Good,Low,2023-02-02
8325,2780,1283,4,Not Good,Good,2023-04-29
8326,3373,1942,1,Excellent,Low,2023-10-09
8327,3000,1080,2,Excellent,Low,2023-12-25
8328,2645,1251,1,Average,Low,2023-07-29
8329,2138,1838,1,Not Good,Low,2023-10-01
8330,2367,1971,3,Not Good,Good,2023-01-26
8331,2908,1744,3,Not Good,Good,2023-05-04
8332,2257,1282,1,Bad Experience,Low,2023-06-27
8333,2614,2457,5,Bad Experience,Good,2023-08-27
8334,2991,1315,4,Great Food,Good,2023-02-17
8335,3064,2356,1,Not Good,Low,2023-05-25
8336,3002,1746,1,Bad Experience,Low,2023-03-02
8337,2072,1469,1,Excellent,Low,2023-04-02
8338,2496,2261,3,Loved It,Good,2023-02-02
8339,2888,2278,2,Not Good,Low,2023-07-20
8340,2787,1451,2,Average,Low,2023-10-26
8341,2278,1914,1,Great Food,Low,2023-12-25
8342,2291,1349,5,Average,Good,2023-02-11
8343,2338,2089,4,Not Good,Good,2023-06-26
8344,2782,1161,4,Excellent,Good,2023-02-17
8345,2838,1507,2,Not Good,Low,2023-10-16
8346,3151,2279,2,Great Food,Low,2023-05-22
8347,2921,1588,4,Not Good,Good,2023-01-23
8348,2806,1098,4,Not Good,Good,2023-09-07
8349,2884,1011,5,Excellent,Good,2023-07-22
8350,2007,1236,4,Loved It,Good,2023-06-16
8351,3000,1010,1,Great Food,Low,2023-11-25
8352,3430,1797,4,Loved It,Good,2023-09-26
8353,3382,2281,2,Average,Low,2023-01-10
8354,2733,1875,2,Bad Experience,Low,2023-12-19
8355,2568,1414,2,Excellent,Low,2023-09-29
8356,3157,2220,3,Average,Good,2023-12-15
8357,2353,1796,3,Average,Good,2023-01-29
8358,3155,2287,4,Excellent,Good,2023-05-12
8359,3331,2060,3,Not Good,Good,2023-06-14
8360,2735,1530,5,Not Good,Good,2023-03-28
8361,2525,1500,2,Great Food,Low,2023-09-10
8362,2913,2410,5,Excellent,Good,2023-09-04
8363,3409,1242,2,Not Good,Low,2023-11-25
8364,3337,2136,5,Not Good,Good,2023-02-17
8365,2045,1628,4,Not Good,Good,2023-12-15
8366,2946,2284,5,Excellent,Good,2023-03-22
8367,2523,1075,4,Excellent,Good,2023-06-22
8368,2630,1904,1,Great Food,Low,2023-04-05
8369,2375,2177,3,Excellent,Good,2023-05-20
8370,3194,1345,4,Great Food,Good,2023-07-13
8371,3157,2494,2,Excellent,Low,2023-05-30
8372,2060,1046,5,Loved It,Good,2023-12-16
8373,2512,2162,4,Not Good,Good,2023-12-25
8374,2320,1516,1,Excellent,Low,2023-07-06
8375,3291,1318,3,Great Food,Good,2023-03-05
8376,3420,1339,3,Loved It,Good,2023-07-12
8377,2136,1917,5,Bad Experience,Good,2023-12-05
8378,2755,1866,5,Great Food,Good,2023-01-09
8379,3045,1975,1,Not Good,Low,2023-04-05
8380,2339,1096,3,Loved It,Good,2023-08-22
8381,3136,1989,4,Not Good,Good,2023-08-17
8382,3045,2442,5,Not Good,Good,2023-12-15
8383,2688,1290,4,Not Good,Good,2023-06-15
8384,2577,2426,1,Great Food,Low,2023-12-25
8385,2519,1101,5,Bad Experience,Good,2023-06-21
8386,3028,1252,4,Loved It,Good,2023-07-06
8387,2883,1626,5,Great Food,Good,2023-01-28
8388,2441,1587,1,Not Good,Low,2023-08-02
8389,2264,1738,2,Excellent,Low,2023-04-18
8390,2318,1346,4,Great Food,Good,2023-09-12
8391,2131,1011,3,Excellent,Good,2023-12-21
8392,2059,2224,3,Great Food,Good,2023-09-12
8393,2241,1240,5,Great Food,Good,2023-03-13
8394,3112,1367,2,Bad Experience,Low,2023-12-01
8395,3469,1292,5,Loved It,Good,2023-01-08
8396,2931,1794,5,Excellent,Good,2023-12-25
8397,3453,2143,4,Excellent,Good,2023-02-22
8398,2168,1076,2,Not Good,Low,2023-10-22
8399,3098,2214,1,Excellent,Low,2023-01-28
8400,3295,2446,4,Average,Good,2023-05-11
8401,2531,1590,2,Not Good,Low,2023-07-13
8402,2251,1878,2,Great Food,Low,2023-01-07
8403,2052,1668,1,Not Good,Low,2023-12-27
8404,2289,2442,3,Average,Good,2023-05-16
8405,2328,2272,2,Great Food,Low,2023-11-01
8406,3162,2253,2,Not Good,Low,2023-06-10
8407,2685,2374,5,Not Good,Good,2023-05-27
8408,2285,1707,3,Loved It,Good,2023-06-26
8409,2671,1001,2,Not Good,Low,2023-12-27
8410,3231,1504,3,Excellent,Good,2023-03-17
8411,2812,2083,4,Great Food,Good,2023-03-01
8412,2690,2043,4,Average,Good,2023-02-28
8413,2854,2293,5,Bad Experience,Good,2023-03-21
8414,3070,2371,1,Loved It,Low,2023-12-08
8415,3206,2453,3,Excellent,Good,2023-12-25
8416,2269,1566,5,Not Good,Good,2023-03-18
8417,2869,2286,3,Average,Good,2023-12-11
8418,2501,1960,4,Not Good,Good,2023-10-22
8419,3108,1812,4,Average,Good,2023-06-12
8420,2821,2207,4,Great Food,Good,2023-05-18
8421,3254,1654,3,Great Food,Good,2023-06-16
8422,3001,2165,3,Loved It,Good,2023-12-25
8423,2914,1955,4,Loved It,Good,2023-05-21
8424,2408,1878,1,Bad Experience,Low,2023-01-26
8425,2595,2294,4,Loved It,Good,2023-12-30
8426,2051,1869,2,Excellent,Low,2023-10-21
8427,2214,2232,2,Loved It,Low,2023-08-22
8428,2367,1263,3,Bad Experience,Good,2023-01-21
8429,3114,1653,4,Loved It,Good,2023-09-16
8430,2516,1192,2,Average,Low,2023-03-03
8431,2054,1603,2,Excellent,Low,2023-05-21
8432,2821,2337,3,Not Good,Good,2023-06-25
8433,2992,1359,5,Average,Good,2023-06-08
8434,2138,2003,5,Great Food,Good,2023-03-20
8435,2462,2168,3,Excellent,Good,2023-12-14
8436,3087,1653,1,Not Good,Low,2023-05-07
8437,2525,1727,3,Excellent,Good,2023-04-18
8438,3245,1137,1,Not Good,Low,2023-07-17
8439,3209,1764,4,Loved It,Good,2023-01-28
8440,2889,2045,1,Loved It,Low,2023-03-26
8441,3156,1067,3,Average,Good,2023-01-01
8442,2563,2023,5,Excellent,Good,2023-10-23
8443,2154,1367,1,Bad Experience,Low,2023-01-11
8444,2597,2401,2,Bad Experience,Low,2023-05-20
8445,3184,1414,4,Average,Good,2023-12-25
8446,2925,1434,4,Loved It,Good,2023-06-09
8447,3234,1314,2,Excellent,Low,2023-09-30
8448,3435,1518,1,Bad Experience,Low,2023-12-25
8449,2710,2118,1,Excellent,Low,2023-10-04
8450,3402,2041,5,Average,Good,2023-05-23
8451,3384,2097,1,Average,Low,2023-08-10
8452,2711,2428,4,Great Food,Good,2023-07-08
8453,2655,2270,2,Bad Experience,Low,2023-03-01
8454,3376,1356,2,Loved It,Low,2023-06-10
8455,2871,2349,4,Not Good,Good,2023-08-25
8456,3122,1436,2,Average,Low,2023-12-25
8457,3173,2172,3,Not Good,Good,2023-09-25
8458,3223,2429,3,Bad Experience,Good,2023-07-15
8459,2139,2436,3,Not Good,Good,2023-06-05
8460,2371,1418,2,Average,Low,2023-05-22
8461,2419,2218,4,Excellent,Good,2023-12-26
8462,3032,2076,5,Excellent,Good,2023-06-19
8463,2873,1812,5,Great Food,Good,2023-03-16
8464,3149,1794,5,Loved It,Good,2023-04-13
8465,2824,2193,3,Not Good,Good,2023-09-27
8466,2706,1336,5,Not Good,Good,2023-06-14
8467,3328,1326,2,Average,Low,2023-08-18
8468,3437,1930,2,Great Food,Low,2023-04-15
8469,2197,1480,1,Bad Experience,Low,2023-01-01
8470,2785,1347,5,Bad Experience,Good,2023-10-03
8471,2828,1296,4,Great Food,Good,2023-11-19
8472,2279,1111,1,Average,Low,2023-12-19
8473,2096,1375,3,Excellent,Good,2023-10-31
8474,2017,2328,2,Not Good,Low,2023-03-11
8475,2872,2300,1,Average,Low,2023-04-10
8476,3342,2167,1,Loved It,Low,2023-01-29
8477,2800,1513,5,Not Good,Good,2023-01-19
8478,2716,1044,5,Loved It,Good,2023-05-14
8479,2241,1941,2,Average,Low,2023-02-02
8480,2885,2485,2,Great Food,Low,2023-12-21
8481,2692,2363,1,Not Good,Low,2023-12-19
8482,3373,1998,2,Not Good,Low,2023-05-11
8483,2978,1921,4,Great Food,Good,2023-12-18
8484,3336,1102,4,Not Good,Good,2023-02-23
8485,3240,2331,4,Bad Experience,Good,2023-07-09
8486,2942,1460,5,Excellent,Good,2023-05-19
8487,3427,1407,3,Excellent,Good,2023-12-01
8488,2680,1742,4,Not Good,Good,2023-04-15
8489,2874,1473,2,Average,Low,2023-10-09
8490,2117,1359,4,Excellent,Good,2023-12-30
8491,2149,2213,5,Loved It,Good,2023-02-24
8492,2619,2383,5,Not Good,Good,2023-03-27
8493,3306,1363,3,Not Good,Good,2023-04-13
8494,2714,2267,5,Excellent,Good,2023-08-16
8495,3187,2007,1,Excellent,Low,2023-09-25
8496,2170,1306,2,Not Good,Low,2023-06-16
8497,2719,2060,3,Bad Experience,Good,2023-12-11
8498,2441,2337,5,Bad Experience,Good,2023-09-30
8499,2128,1160,2,Not Good,Low,2023-03-09
8500,2353,2184,4,Not Good,Good,2023-02-17
8501,3487,2241,2,Loved It,Low,2023-11-11
8502,3497,1531,1,Great Food,Low,2023-01-17
8503,2930,1543,2,Excellent,Low,2023-07-28
8504,3279,2077,4,Not Good,Good,2023-02-11
8505,3295,1828,5,Great Food,Good,2023-10-03
8506,2011,2347,3,Average,Good,2023-04-13
8507,2065,2411,5,Great Food,Good,2023-05-08
8508,2010,1300,3,Great Food,Good,2023-11-28
8509,2004,1771,3,Average,Good,2023-06-29
8510,3278,1700,2,Bad Experience,Low,2023-12-25
8511,2156,2270,4,Bad Experience,Good,2023-12-25
8512,3414,1360,3,Not Good,Good,2023-08-13
8513,2073,1692,5,Not Good,Good,2023-11-19
8514,2733,1906,5,Not Good,Good,2023-03-27
8515,2690,2320,5,Bad Experience,Good,2023-07-29
8516,3057,1421,3,Great Food,Good,2023-12-09
8517,3079,1562,2,Average,Low,2023-09-12
8518,3296,2208,2,Loved It,Low,2023-10-08
8519,2196,1664,3,Not Good,Good,2023-07-20
8520,2368,2173,2,Excellent,Low,2023-01-09
8521,3097,1567,5,Great Food,Good,2023-08-06
8522,3175,2306,1,Excellent,Low,2023-11-23
8523,2749,1870,5,Loved It,Good,2023-11-19
8524,2389,2376,3,Great Food,Good,2023-02-03
8525,2247,1262,4,Not Good,Good,2023-01-04
8526,3240,1648,5,Average,Good,2023-12-25
8527,2925,1681,3,Excellent,Good,2023-07-28
8528,2809,1002,3,Not Good,Good,2023-01-02
8529,3434,2380,2,Great Food,Low,2023-09-30
8530,2451,2291,1,Great Food,Low,2023-10-26
8531,2955,1988,3,Great Food,Good,2023-12-28
8532,2561,1695,1,Loved It,Low,2023-06-18
8533,3097,1119,3,Loved It,Good,2023-01-23
8534,2655,1315,3,Excellent,Good,2023-05-18
8535,2228,2110,1,Not Good,Low,2023-09-18
